,"Age, BMI & VAT",Mental health
rem_latency,0.05787309157317935,0.14541612127614206
sleep_latency,0.049291658445410697,0.0749934965597367
percent_of_deep_sleep_time,0.22102148428973678,0.24616381501517126
number_of_central_apnea_hypopnea_events,0.29922318082250154,0.31924362496166836
variability_between_sleep_stage_percents,0.195106632948077,0.2128205459723415
total_light_sleep_time,0.1555004770200203,0.17172093664952146
total_deep_sleep_time,0.16644231697426332,0.17729567987486122
percent_of_rem_sleep_time,0.1405857104953101,0.1505757979387177
percent_of_light_sleep_time,0.19204929504299095,0.2010163965707487
ahi_central_during_nrem,0.2729453999129011,0.2755633628609241
ahi_obstructive_during_rem,0.5735992335647694,0.5761623354121017
ahi_during_rem,0.5830863551412628,0.5846571456754457
ahi_central,0.2919626165650038,0.29350053543735954
