,"Age, BMI & VAT",Mental health
AHI,0.5073167786346199,0.503184697505195
ahi_4_percent,0.4903732680428704,0.48504321608434764
ahi_central,0.23010145134359014,0.22978610372623895
ahi_central_during_nrem,0.20119183484546935,0.19936459526344558
ahi_central_during_rem,0.21924360621152889,0.21853597152741522
ahi_during_left,0.3706070097984888,0.36311518462707926
ahi_during_non_supine,0.4350451609977386,0.42773687011284733
ahi_during_nrem,0.4724913820341361,0.46859783148571454
ahi_during_prone,0.3990068684040844,0.3828213432401317
ahi_during_rem,0.5094297355767833,0.505689308234811
ahi_during_right,0.384559523206381,0.37470511277742924
ahi_during_supine,0.5190618123659678,0.5081416607402329
ahi_obstructive,0.5177000896784658,0.5148993113207943
ahi_obstructive_during_nrem,0.4824572834910429,0.47855179200879217
ahi_obstructive_during_rem,0.5119301231415787,0.5072030296065659
desaturations_mean_nadir,0.34420679684286226,0.3441639423769296
desaturations_of_10_20,0.23985743799798706,0.23985743799798706
desaturations_of_4_9,0.4931049995309041,0.4918341113088319
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4744198097893738,0.46987603631872776
number_of_all_respiratory_events,0.38052107704022003,0.3759589536871822
number_of_apnea_hypopnea_events,0.4870569924471294,0.4836215312909624
number_of_central_apnea_hypopnea_events,0.24245549450317125,0.22968208539782364
number_of_desaturation_events,0.475165603693806,0.4713891481106828
number_of_obstructive_apnea_hypopnea_events,0.4979105939045069,0.4954205173060845
number_of_transitions_nrem_to_rem,0.0648367607576473,0.0631071605528378
number_of_transitions_nrem_to_wake,0.1582552300834418,0.14985484946258049
number_of_transitions_rem_to_nrem,0.07612026507134945,0.07612026507134931
number_of_transitions_rem_to_wake,-0.0371423317459929,-0.03714233174599295
number_of_transitions_wake_to_nrem,0.17683250270782963,0.16978814679799925
number_of_transitions_wake_to_rem,-0.037901695306791494,-0.037901695306791494
number_of_wakes,0.16139696744306145,0.15452609962574426
odi,0.4908679950892879,0.48625551152187363
odi_during_left,0.40688142313628484,0.4004941811379006
odi_during_non_supine,0.44613360348489817,0.4424981495023302
odi_during_nrem,0.4463464222662732,0.44239235372299046
odi_during_prone,0.40315871704583645,0.39310031509250176
odi_during_rem,0.5131929581382282,0.5090314286053701
odi_during_right,0.39199446702505714,0.3845712760270238
odi_during_supine,0.4980654016347835,0.4897291025632483
percent_of_deep_sleep_time,0.229521070028288,0.23999828391008976
percent_of_left_sleep,0.0917742673905291,0.045130876802131695
percent_of_light_sleep_time,0.1900638564966227,0.17098289650251886
percent_of_non_supine_sleep,0.15292133190460225,0.09988271583543701
percent_of_prone_sleep,-0.0446665538875487,-0.0446665538875487
percent_of_rem_sleep_time,0.1230410916359381,0.08155508756245715
percent_of_right_sleep,0.14798983482563188,0.12676667280405565
percent_of_sleep_time,0.09135665133398485,0.07217371821140794
percent_of_supine_sleep,0.15292133190460225,0.0998827158354369
percent_of_wake_time,0.09135665133398399,0.0721737182114075
rdi,0.41315220643723316,0.4089942695961247
rdi_during_left,0.2721774028723989,0.26799511804472664
rdi_during_non_supine,0.3147469349643228,0.30605959534887783
rdi_during_nrem,0.37513576947976446,0.3694310898067858
rdi_during_prone,0.27949184900299917,0.2788168560893804
rdi_during_rem,0.4268253777392743,0.4251553930154055
rdi_during_right,0.2633690103240673,0.25876367695082125
rdi_during_supine,0.4411816463281245,0.42856292727232004
rem_latency,0.05444283418046515,0.0227435575762417
saturation_below_80,0.018586814986547,0.018586814986547
saturation_below_85,0.21327143375019975,0.21314866838283955
saturation_below_90,0.3006831839662967,0.2784864462917842
saturation_below_or_equal_88,0.2907454633687713,0.28930248344078147
saturation_max_value,0.0141380578513188,0.0141380578513192
saturation_mean,0.4577422479018064,0.45774226364740456
saturation_min_value,0.3809109685511105,0.37731561888602305
sleep_efficiency,0.07720059306230175,-0.0417200426030351
sleep_latency,0.0031661284250049998,-0.0388960435940396
snore_above_40db,0.16866117839269107,0.14340730336000357
snore_above_45db,0.3409229226863698,0.33852637142466857
snore_above_50db,0.27602857720563445,0.27341679363667737
snore_above_60db,0.1592881480562957,0.1521940953383576
snore_db_mean,0.3254890203548376,0.3254890244540267
time_to_transition_nrem_to_rem,0.0378361985309746,-0.038110703225015044
time_to_transition_nrem_to_wake,0.104476015647335,0.08160099133988916
time_to_transition_rem_to_nrem,0.15121571768141714,0.14164634931201686
time_to_transition_rem_to_wake,0.0271660318154878,-0.03736358356645195
time_to_transition_wake_to_nrem,0.19267018666597802,0.18235258310564245
time_to_transition_wake_to_rem,0.1165089565875925,0.09814036875720869
total_arousal_sleep_time,0.060498971337783605,0.04689472070333155
total_deep_sleep_time,0.22172749682550175,0.22970775914738784
total_left_sleep_time,0.0994822412028184,0.0490384233578931
total_light_sleep_time,0.13505864612642726,0.13184836908861697
total_non_supine_sleep_time,0.15564715682693886,0.1058163696804668
total_prone_sleep_time,-0.00993672175484625,-0.021130339179469097
total_rem_sleep_time,0.1027732846756231,0.06844850628003285
total_right_sleep_time,0.1585170040538933,0.1352309191978729
total_sleep_time,0.0615093459886598,0.0483176194785723
total_supine_sleep_time,0.13321966684062497,0.10081451817720366
total_time_in_bed,0.057505507332927,0.06470987522325186
total_valid_apnea_central_sleep_time,0.06022278710262565,0.04998407455298115
total_valid_apnea_sleep_time,0.0822673834537383,0.06125216889645275
total_wake_time,0.09305725524088229,0.07517067638021324
total_wake_time_after_sleep_onset,0.10495171005581219,0.0843100305157583
variability_between_sleep_stage_percents,0.19624947310743474,0.1868819655375413
