,Age & BMI,Liver health
total_valid_apnea_central_sleep_time,0.00540488318454835,0.0417175464054932
total_valid_apnea_sleep_time,0.0035635778822410502,0.0366638412476169
total_wake_time,0.03000159031634475,0.055737157039548346
number_of_wakes,0.09393873951461434,0.1187799393119672
percent_of_left_sleep,0.0123060411466239,0.03424332191406795
total_left_sleep_time,0.019159626879741,0.0375094302758779
number_of_transitions_nrem_to_rem,0.02297198568399265,0.04132015335920711
number_of_transitions_wake_to_nrem,0.1179973064791005,0.13557686625837778
number_of_transitions_nrem_to_wake,0.10942206677709401,0.12595043491297836
total_prone_sleep_time,0.01973169052301885,0.0326495611307749
total_wake_time_after_sleep_onset,0.0662118005185897,0.07325488116652709
