,Age & BMI,Liver health
time_to_transition_wake_to_nrem,0.0066006507408033,0.0605734762148031
snore_above_60db,0.0717790441258402,0.11605375402439745
desaturations_of_10_20,0.1361770912654163,0.1632411070337537
total_valid_apnea_sleep_time,0.0320460911239228,0.05455241684641145
total_rem_sleep_time,0.027639435578826553,0.0487097967739695
rem_latency,0.04583844116914415,0.066868741335389
desaturations_above_20,0.0300938742780597,0.042468315002550105
saturation_below_90,0.2328409818334691,0.2449012192474652
total_valid_apnea_central_sleep_time,0.03596248243244125,0.0460564349622227
odi_during_non_supine,0.4261517811337625,0.43540859253255254
time_to_transition_nrem_to_rem,0.02758984539339185,0.03567712565203865
total_arousal_sleep_time,0.004691806116784649,0.01273034819959435
