,"Age, BMI & VAT",Blood lipids
AHI,0.0067420877638712075,0.012846858509748645
ahi_4_percent,0.009176361894434257,0.01243939238565291
ahi_central,0.01417425442458575,0.021642985310335285
ahi_central_during_nrem,0.013980988586750445,0.018896554636285808
ahi_central_during_rem,0.012391989753316015,0.01917177331908771
ahi_during_left,0.011151466205908138,0.014074698269565195
ahi_during_non_supine,0.009109763925419912,0.014175376418338027
ahi_during_nrem,0.008477726235132505,0.012203599689868663
ahi_during_prone,0.011521694116323054,0.019287181984715088
ahi_during_rem,0.007468023777094351,0.01334357289662683
ahi_during_right,0.0123243655995116,0.018135907485069543
ahi_during_supine,0.007578554094169948,0.01202810367934693
ahi_obstructive,0.008044214698595006,0.012498426945753401
ahi_obstructive_during_nrem,0.007112643351036185,0.020058354152507542
ahi_obstructive_during_rem,0.006013459813680591,0.012937510411792115
desaturations_mean_nadir,0.015585023418906692,0.024276356720262838
desaturations_of_10_20,0.018433938949826065,0.02571142166150173
desaturations_of_4_9,0.011303649604201936,0.014775913850570949
number_of_4_percent_desaturation_apnea_hypopnea_events,0.009114308226664335,0.015985472708454167
number_of_all_respiratory_events,0.01105617626395953,0.020774324598565246
number_of_apnea_hypopnea_events,0.009614580919250205,0.014571310197138733
number_of_central_apnea_hypopnea_events,0.01321248731343688,0.018373386499702642
number_of_desaturation_events,0.008456166155979501,0.017049577642880762
number_of_obstructive_apnea_hypopnea_events,0.009418698282297227,0.012875419246387368
number_of_transitions_nrem_to_rem,0.02133679885089256,0.022892566691368157
number_of_transitions_nrem_to_wake,0.014201537260796046,0.02275808399232031
number_of_transitions_rem_to_nrem,0.02272917106392906,0.025519834548798838
number_of_transitions_rem_to_wake,0.021143313174878758,0.02737841375200742
number_of_transitions_wake_to_nrem,0.014088448208329633,0.02019918797696499
number_of_transitions_wake_to_rem,0.01887073972364534,0.024829610585352265
number_of_wakes,0.014346740419897391,0.020309063830223205
odi,0.008810375956642677,0.015718148415772966
odi_during_left,0.016673755916322752,0.018659275886951304
odi_during_non_supine,0.011739064088798448,0.01667895482337857
odi_during_nrem,0.010808649684794424,0.017743524997583568
odi_during_prone,0.010851689728091233,0.0238603843318236
odi_during_rem,0.011268574507436145,0.01438351334036779
odi_during_right,0.015415780513495908,0.017048187943818793
odi_during_supine,0.008969897497394779,0.013683705280643952
percent_of_deep_sleep_time,0.016890892322095254,0.020142879700102864
percent_of_left_sleep,0.02389633257342545,0.025550228721162704
percent_of_light_sleep_time,0.01589847098309287,0.021392285419963634
percent_of_non_supine_sleep,0.015641981718187984,0.022215456352649147
percent_of_prone_sleep,0.01947258933231499,0.02508142570556025
percent_of_rem_sleep_time,0.016565580376181402,0.02562920718933706
percent_of_right_sleep,0.016486605145167473,0.026998691360639558
percent_of_sleep_time,0.022776431832049214,0.025956096806628387
percent_of_supine_sleep,0.015641981748471433,0.022223457515758747
percent_of_wake_time,0.02278018950638203,0.025935598738616564
rdi,0.009087004891723633,0.01350289279461295
rdi_during_left,0.014570720660511155,0.021515334604916874
rdi_during_non_supine,0.013665377880989945,0.019181541650089125
rdi_during_nrem,0.010467289940783806,0.02384731470018224
rdi_during_prone,0.0153683087331336,0.021238201462817397
rdi_during_rem,0.0095599784840909,0.01569117027177019
rdi_during_right,0.016287545478682566,0.02171933432841239
rdi_during_supine,0.010554086571150806,0.01595503903359948
rem_latency,0.02120391016500484,0.02861688667341772
saturation_below_85,0.017829306049745194,0.018219466678069535
saturation_below_90,0.015121900741522535,0.018650594587916954
saturation_below_or_equal_88,0.017040470799229306,0.01712580808556888
saturation_max_value,0.015474878329481117,0.021776523382585417
saturation_mean,0.006691485720371959,0.009783649482454988
saturation_min_value,0.010759044381240925,0.017826314604077704
sleep_efficiency,0.021308501839576797,0.022818082980969483
sleep_latency,0.02526394030881857,0.023252936492660768
snore_above_40db,0.022406719116580258,0.020789423703606077
snore_above_45db,0.01067226758366633,0.018530569004942744
snore_above_50db,0.013798796744132286,0.024878713133114492
snore_above_60db,0.014247567546689916,0.021736035924538787
snore_db_mean,0.009187308674189284,0.018945093764225863
time_to_transition_nrem_to_rem,0.020865286725085638,0.02412252434673531
time_to_transition_nrem_to_wake,0.020741358511154353,0.02380769246461109
time_to_transition_rem_to_nrem,0.016505936234665265,0.025503412867525423
time_to_transition_rem_to_wake,0.02490725644762383,0.02949348783758642
time_to_transition_wake_to_nrem,0.01633755519102292,0.02675516409863108
time_to_transition_wake_to_rem,0.026721799153620603,0.029673533267657624
total_arousal_sleep_time,0.021866559813195695,0.023002640248716365
total_deep_sleep_time,0.017001568718458156,0.022880031293030158
total_left_sleep_time,0.018641961717996054,0.024611610864062414
total_light_sleep_time,0.0164153828621203,0.021665732364407855
total_non_supine_sleep_time,0.014164024036032076,0.02184356989552581
total_prone_sleep_time,0.0198874633700321,0.023120249766934494
total_rem_sleep_time,0.01880307584297455,0.023072222778753062
total_right_sleep_time,0.017853146563853665,0.025555270426891364
total_sleep_time,0.021785030507021446,0.026885676003313194
total_supine_sleep_time,0.01811097690903092,0.022842937985112034
total_time_in_bed,0.019129140915158424,0.02477402535496095
total_valid_apnea_central_sleep_time,0.02001865592503448,0.02507126333254804
total_valid_apnea_sleep_time,0.017203187170200487,0.02498597545836293
total_wake_time,0.017825151289957365,0.022680825442244514
total_wake_time_after_sleep_onset,0.022337741967751082,0.01732614853483333
variability_between_sleep_stage_percents,0.015573310217302478,0.020520219882198477
