,"Age, BMI & VAT",Blood lipids
total_wake_time,0.0247322660797624,0.07106835887468185
total_light_sleep_time,0.04375646998356885,0.08992903502406385
total_arousal_sleep_time,0.0025147470673459998,0.04461148610329325
total_sleep_time,0.00556471677542305,0.04642333524231215
rem_latency,0.0193098750526027,0.056043644567974754
time_to_transition_wake_to_nrem,0.008795376607590999,0.037157287715930395
rdi_during_prone,0.11401500513775964,0.14203489804181196
total_left_sleep_time,0.0067917520487816,0.0315653229717065
time_to_transition_wake_to_rem,0.0079263492302616,0.02739175832929505
total_wake_time_after_sleep_onset,0.049001934268313146,0.0680915668433353
total_rem_sleep_time,0.0226441833954643,0.0386116117265906
percent_of_wake_time,0.04480434501757195,0.055478373924701604
percent_of_sleep_time,0.04480434573287785,0.055428754124838345
