,Age & BMI,Gut MB families
number_of_transitions_nrem_to_wake,0.23313305039277654,0.23835764214095662
number_of_wakes,0.20937097171528635,0.21444731007786325
number_of_all_respiratory_events,0.4130289122995079,0.41777932142952456
desaturations_of_4_9,0.526680390179917,0.5299190941934125
number_of_apnea_hypopnea_events,0.5387561274555297,0.5418812738606633
number_of_obstructive_apnea_hypopnea_events,0.5472876097750345,0.550041444219983
odi,0.5227725259333571,0.5254006336020189
number_of_transitions_wake_to_nrem,0.22003120723175523,0.22231519040093956
number_of_desaturation_events,0.5037433906924624,0.5058107019016276
ahi_4_percent,0.5189220601703783,0.520950308391043
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5025797981724915,0.5044326576560121
rdi,0.4408455567953229,0.44241279502466585
odi_during_nrem,0.4407614038398755,0.44212331322679943
odi_during_non_supine,0.45042389104014235,0.45132478804793524
ahi_central_during_nrem,0.24026159779775125,0.24026162576462096
ahi_central,0.25544563573170265,0.25544565954054393
ahi_central_during_rem,0.23929869802838666,0.2392987212074958
