,Age & BMI,Gut MB families
sleep_latency,0.023221592309394502,0.06230333714247375
number_of_all_respiratory_events,0.3429046614327515,0.3537024107957043
total_rem_sleep_time,0.08400680874596995,0.09217804404818525
total_wake_time,0.09367150783500265,0.10108508118500995
sleep_efficiency,0.08174764796089325,0.086661041980166
number_of_obstructive_apnea_hypopnea_events,0.4638375307338452,0.46661060955402067
saturation_min_value,0.39121713885241904,0.39306133123492193
desaturations_of_4_9,0.4690954449938861,0.47061945813741146
rdi_during_supine,0.39677949811874125,0.3974919289456666
number_of_transitions_nrem_to_rem,0.07587215773505845,0.07587215773505845
