,"Age, BMI & VAT",Lifestyle
total_time_in_bed,0.055256462619920496,0.2602851709556825
total_sleep_time,0.06325721140573426,0.2234189220418539
total_arousal_sleep_time,0.0621479815462889,0.22204018132909326
total_valid_apnea_central_sleep_time,0.062078978005475,0.20629266574053856
total_valid_apnea_sleep_time,0.08280203192633305,0.21339831015243638
total_wake_time,0.09414060906882915,0.2101926877114301
sleep_efficiency,0.077437599123378,0.1700669642494563
percent_of_sleep_time,0.08875676691984974,0.17938223150871005
percent_of_wake_time,0.08875676691984985,0.17938223150871002
total_wake_time_after_sleep_onset,0.1054380147386564,0.19514183015750874
total_light_sleep_time,0.13559347388224507,0.22070925884915177
number_of_wakes,0.1667420097927949,0.21519089608326292
number_of_transitions_wake_to_nrem,0.18074570701481246,0.22814019200740135
sleep_latency,0.0005344265173478501,0.0405177519341059
number_of_transitions_nrem_to_wake,0.1615050769241822,0.2009400681193653
total_non_supine_sleep_time,0.1550034346532293,0.18723248670672332
time_to_transition_rem_to_nrem,0.14881079843758854,0.17656104428356675
rem_latency,0.053165625213700995,0.07887835870657814
snore_above_45db,0.3403899058169717,0.3611130642973386
snore_above_50db,0.27667090654731846,0.29490803813334915
snore_db_mean,0.32479174067360145,0.34279891870491164
total_deep_sleep_time,0.2213597367635594,0.23405759095597434
number_of_all_respiratory_events,0.3804031571852957,0.392447254361524
total_rem_sleep_time,0.10206133313160254,0.11230317985792279
total_supine_sleep_time,0.13066848178692686,0.13917589943028766
desaturations_of_4_9,0.4926995089445381,0.5011596970619242
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4738512322793429,0.4815921977505201
number_of_desaturation_events,0.4743723237369189,0.48146598625148007
number_of_obstructive_apnea_hypopnea_events,0.49821779941343664,0.5038706409731868
snore_above_40db,0.1697562425850842,0.17524230882579925
percent_of_rem_sleep_time,0.12105768826075525,0.12633455571352542
number_of_apnea_hypopnea_events,0.4868634824346201,0.4920103501606295
rdi,0.41407389920788573,0.41749341893032654
saturation_max_value,0.019857095608240498,0.02294224917576385
ahi_central_during_nrem,0.20158449521060515,0.20443999900081594
ahi_4_percent,0.49010531504721533,0.4917862805916186
saturation_min_value,0.38152146605930426,0.3828309564448493
odi,0.4905023103414524,0.4918102242359432
desaturations_mean_nadir,0.3436112973185538,0.34445720830635174
saturation_mean,0.4579073202796135,0.4584378930795968
