,"Age, BMI & VAT",Lifestyle
AHI,0.5080132967486993,0.5063593885486153
ahi_4_percent,0.49010531504721533,0.4917862805916186
ahi_central,0.2330297069701257,0.2336217938937763
ahi_central_during_nrem,0.20158449521060515,0.20443999900081594
ahi_central_during_rem,0.2204561439571464,0.21832812832011694
ahi_during_left,0.37136019659683384,0.3634412576417909
ahi_during_non_supine,0.4361112994354942,0.4209405913922041
ahi_during_nrem,0.47379078089587323,0.4684942851112041
ahi_during_prone,0.40107167453485243,0.38916767786732165
ahi_during_rem,0.5096344311272363,0.5032487694523378
ahi_during_right,0.3834671547947124,0.36504537016062005
ahi_during_supine,0.5209168088545513,0.5149080357635876
ahi_obstructive,0.5180060228843331,0.5169697619111668
ahi_obstructive_during_nrem,0.484082722886666,0.4767615487103499
ahi_obstructive_during_rem,0.5120664104729264,0.5039155900139408
desaturations_mean_nadir,0.3436112973185538,0.34445720830635174
desaturations_of_10_20,0.2395708343014452,0.23768135378275135
desaturations_of_4_9,0.4926995089445381,0.5011596970619242
number_of_4_percent_desaturation_apnea_hypopnea_events,0.4738512322793429,0.4815921977505201
number_of_all_respiratory_events,0.3804031571852957,0.392447254361524
number_of_apnea_hypopnea_events,0.4868634824346201,0.4920103501606295
number_of_central_apnea_hypopnea_events,0.24276245592459,0.23033430660600465
number_of_desaturation_events,0.4743723237369189,0.48146598625148007
number_of_obstructive_apnea_hypopnea_events,0.49821779941343664,0.5038706409731868
number_of_transitions_nrem_to_rem,0.06691787555194885,0.06960831056909715
number_of_transitions_nrem_to_wake,0.1615050769241822,0.2009400681193653
number_of_transitions_rem_to_nrem,0.0759996227965845,0.0755015983256292
number_of_transitions_rem_to_wake,-0.03707311079400495,-0.03707311079400495
number_of_transitions_wake_to_nrem,0.18074570701481246,0.22814019200740135
number_of_transitions_wake_to_rem,-0.03872144071099165,-0.03872144071099165
number_of_wakes,0.1667420097927949,0.21519089608326292
odi,0.4905023103414524,0.4918102242359432
odi_during_left,0.40669359657658866,0.38679405169372194
odi_during_non_supine,0.44659976486095365,0.44261952857364245
odi_during_nrem,0.44667172136717626,0.445234084106715
odi_during_prone,0.4052423929881497,0.3857658895679219
odi_during_rem,0.512233766588212,0.5082327534956161
odi_during_right,0.3917534289007718,0.37624662760637945
odi_during_supine,0.4987589449133359,0.4932481061189838
percent_of_deep_sleep_time,0.23008492609511777,0.22047609007542066
percent_of_left_sleep,0.09179534975979059,0.0507479706445373
percent_of_light_sleep_time,0.1883420658521664,0.1623179897048488
percent_of_non_supine_sleep,0.1523736370041143,0.12509294686253755
percent_of_prone_sleep,-0.04442568873273835,0.02171643021099285
percent_of_rem_sleep_time,0.12105768826075525,0.12633455571352542
percent_of_right_sleep,0.1455588788547858,0.0039235959170255
percent_of_sleep_time,0.08875676691984974,0.17938223150871005
percent_of_supine_sleep,0.15237363700411435,0.12509294686253758
percent_of_wake_time,0.08875676691984985,0.17938223150871002
rdi,0.41407389920788573,0.41749341893032654
rdi_during_left,0.27309624303844926,0.26989578017596916
rdi_during_non_supine,0.31627674345145396,0.3042912503965257
rdi_during_nrem,0.37685841892945077,0.37246035691611434
rdi_during_prone,0.28191194584951307,0.2808500097408058
rdi_during_rem,0.4264259880908534,0.4202062928016257
rdi_during_right,0.2638120574646043,0.2443748514677842
rdi_during_supine,0.4434952358204889,0.4382718306898889
rem_latency,0.053165625213700995,0.07887835870657814
saturation_below_80,0.02323221249570505,0.0232322124957052
saturation_below_85,0.20780257343188696,0.19586089034967455
saturation_below_90,0.30107302661669066,0.2793030525220126
saturation_below_or_equal_88,0.290262197956621,0.28401329473405856
saturation_max_value,0.019857095608240498,0.02294224917576385
saturation_mean,0.4579073202796135,0.4584378930795968
saturation_min_value,0.38152146605930426,0.3828309564448493
sleep_efficiency,0.077437599123378,0.1700669642494563
sleep_latency,0.0005344265173478501,0.0405177519341059
snore_above_40db,0.1697562425850842,0.17524230882579925
snore_above_45db,0.3403899058169717,0.3611130642973386
snore_above_50db,0.27667090654731846,0.29490803813334915
snore_above_60db,0.15474840368921156,0.11945799991453726
snore_db_mean,0.32479174067360145,0.34279891870491164
time_to_transition_nrem_to_rem,0.0324492213169931,-0.00150207712863905
time_to_transition_nrem_to_wake,0.1085338421737386,0.06981340351280241
time_to_transition_rem_to_nrem,0.14881079843758854,0.17656104428356675
time_to_transition_rem_to_wake,0.02575423190767235,-0.04072074572082175
time_to_transition_wake_to_nrem,0.1959534651648142,0.19070951723134474
time_to_transition_wake_to_rem,0.11822980617863846,0.1019770572660024
total_arousal_sleep_time,0.0621479815462889,0.22204018132909326
total_deep_sleep_time,0.2213597367635594,0.23405759095597434
total_left_sleep_time,0.09853420138143304,0.08583132353850835
total_light_sleep_time,0.13559347388224507,0.22070925884915177
total_non_supine_sleep_time,0.1550034346532293,0.18723248670672332
total_prone_sleep_time,-0.0093351947424078,0.04183573091753415
total_rem_sleep_time,0.10206133313160254,0.11230317985792279
total_right_sleep_time,0.15706099667873663,0.11765128518986705
total_sleep_time,0.06325721140573426,0.2234189220418539
total_supine_sleep_time,0.13066848178692686,0.13917589943028766
total_time_in_bed,0.055256462619920496,0.2602851709556825
total_valid_apnea_central_sleep_time,0.062078978005475,0.20629266574053856
total_valid_apnea_sleep_time,0.08280203192633305,0.21339831015243638
total_wake_time,0.09414060906882915,0.2101926877114301
total_wake_time_after_sleep_onset,0.1054380147386564,0.19514183015750874
variability_between_sleep_stage_percents,0.19421887714316854,0.17157746392734413
