,"Age, BMI & VAT",Lifestyle
AHI,0.5636609141646524,0.5631897737530029
ahi_4_percent,0.5305883923264412,0.5288765517769143
ahi_central,0.2911937615619249,0.2911937271723578
ahi_central_during_nrem,0.2753314037062691,0.2751540228204973
ahi_central_during_rem,0.2821286578540374,0.2819744708678298
ahi_during_left,0.4094712986693734,0.38679003822287156
ahi_during_non_supine,0.46391382935361364,0.4568261226264575
ahi_during_nrem,0.5121618914139143,0.5101914934684515
ahi_during_prone,0.39840274192277814,0.3915113146028707
ahi_during_rem,0.5823238178622892,0.5770464131682318
ahi_during_right,0.38836348800571263,0.36699791447471103
ahi_during_supine,0.5589026210626127,0.5543675055207502
ahi_obstructive,0.5653702976663413,0.562001573517372
ahi_obstructive_during_nrem,0.5156296802585676,0.5119128363607546
ahi_obstructive_during_rem,0.5727533894676872,0.5656561370811299
desaturations_above_20,-0.04139687339676465,-0.0413968733967646
desaturations_mean_nadir,0.2523857950316783,0.25068066722636906
desaturations_of_10_20,0.3008277357645359,0.2933518515382121
desaturations_of_4_9,0.5468472504383948,0.5500380091757096
number_of_4_percent_desaturation_apnea_hypopnea_events,0.5287672758423947,0.5301955312765398
number_of_all_respiratory_events,0.42563642865032564,0.4373938225544956
number_of_apnea_hypopnea_events,0.5530349643892698,0.5583826926991438
number_of_central_apnea_hypopnea_events,0.29921758720863645,0.31225314243547514
number_of_desaturation_events,0.5397015247227361,0.5422266870128862
number_of_obstructive_apnea_hypopnea_events,0.5565806094925986,0.5588156516447422
number_of_transitions_nrem_to_rem,-0.040088152790197104,-0.04201719732720955
number_of_transitions_nrem_to_wake,0.2380070344456517,0.29596459631598504
number_of_transitions_rem_to_nrem,-0.037271829580267,-0.037435630263373446
number_of_transitions_rem_to_wake,-0.04250964110667475,-0.04250964110667475
number_of_transitions_wake_to_nrem,0.22019694066101392,0.28865462864301605
number_of_transitions_wake_to_rem,-0.03535266810316925,-0.035352668103169296
number_of_wakes,0.21071711371937224,0.27659529478040656
odi,0.5358879929761959,0.5353534921681683
odi_during_left,0.4095913120827249,0.4042177894310699
odi_during_non_supine,0.44120737319927184,0.4367192362892301
odi_during_nrem,0.46424963469636404,0.46241563111612016
odi_during_prone,0.35598358688313814,0.33561969089876936
odi_during_rem,0.5567705762497496,0.5553576223942261
odi_during_right,0.36097692106833446,0.35788770051099583
odi_during_supine,0.5133913433774895,0.5094918653866032
percent_of_deep_sleep_time,0.2234029694875469,0.22806861261272005
percent_of_left_sleep,0.1087095649555927,0.08917097164338761
percent_of_light_sleep_time,0.1935920043043054,0.21195288649791033
percent_of_non_supine_sleep,0.1127932067023278,0.0831916877815581
percent_of_prone_sleep,-0.04331121352502345,-0.04309384624588195
percent_of_rem_sleep_time,0.1415675077293191,0.1708069277878088
percent_of_right_sleep,0.06729362633937745,-0.0397449721578878
percent_of_sleep_time,0.1079132506271045,0.19945368868121582
percent_of_supine_sleep,0.1127932067023278,0.08319168778155814
percent_of_wake_time,0.1079132506271046,0.19945368868121577
rdi,0.44686009945130184,0.44619187999784615
rdi_during_left,0.29302946074195246,0.27046299402114493
rdi_during_non_supine,0.33659498081955663,0.32753756999228567
rdi_during_nrem,0.38491447643343146,0.3833787644837303
rdi_during_prone,0.2929030135598948,0.2808984814689063
rdi_during_rem,0.4863835836306416,0.4764116262916951
rdi_during_right,0.28384831407413075,0.2573381298557687
rdi_during_supine,0.4518431317970919,0.4434353152681965
rem_latency,0.054507316251952154,0.11204905008400395
saturation_below_80,-0.043204186250753354,-0.043204186250753396
saturation_below_85,0.13435333407466238,0.13397425692580156
saturation_below_90,0.31003262821116306,0.3086600247789605
saturation_below_or_equal_88,0.2886303073257316,0.28971384567824354
saturation_max_value,0.21658169443796996,0.2263788482671732
saturation_mean,0.5928563174145867,0.5927905858170908
saturation_min_value,0.4203653734502455,0.4139948192245648
sleep_efficiency,0.09020884859769665,0.18805497552927755
sleep_latency,0.05164850467452635,0.033772831504624554
snore_above_40db,0.1987573443942509,0.186538310161939
snore_above_45db,0.36561237079352615,0.3679702035753979
snore_above_50db,0.30534728004653144,0.29955587212586765
snore_above_60db,0.14397333652734,0.1261346792916916
snore_db_mean,0.3298670545971871,0.3430044154435342
time_to_transition_nrem_to_rem,0.08646151152142931,0.05402100242530155
time_to_transition_nrem_to_wake,0.10795575543744505,0.1001359731174021
time_to_transition_rem_to_nrem,0.1473179241520658,0.1355881195839117
time_to_transition_rem_to_wake,0.08691541089451295,0.09403564130461965
time_to_transition_wake_to_nrem,-0.0461928180472425,0.0304526386672104
time_to_transition_wake_to_rem,-0.0500380250009037,-0.050070943098826204
total_arousal_sleep_time,0.0331771341095101,0.1521807128517027
total_deep_sleep_time,0.16658459224219047,0.16520326172719252
total_left_sleep_time,0.1093300196019862,0.10435284154833194
total_light_sleep_time,0.15944989653465635,0.20504658310683976
total_non_supine_sleep_time,0.12590381110975973,0.13658082456124349
total_prone_sleep_time,0.00716376573739745,-0.0381434099873386
total_rem_sleep_time,0.09654876983267935,0.11889006825125195
total_right_sleep_time,0.0750014314556556,0.08730776813005856
total_sleep_time,0.03372523502876955,0.15117912209542173
total_supine_sleep_time,0.09313530929461375,0.08875206353994955
total_time_in_bed,0.0840138532579372,0.19508121550524576
total_valid_apnea_central_sleep_time,0.0167203508831359,0.12293348613439506
total_valid_apnea_sleep_time,0.01334063589204185,0.1338345488556079
total_wake_time,0.13007231193044488,0.23145455839979906
total_wake_time_after_sleep_onset,0.12852329337680615,0.22204671533932824
variability_between_sleep_stage_percents,0.1968108140415626,0.21728498248405936
