,body_comp_trunk_diff_tissue_mass,body_comp_trunk_diff_total_mass,body_comp_total_diff_fat_mass,body_comp_trunk_diff_fat_mass,body_comp_total_diff_bone_mass,body_comp_trunk_diff_bone_mass,body_comp_arms_diff_fat_free_mass,body_comp_arms_diff_lean_mass,body_comp_legs_diff_fat_mass,body_comp_legs_diff_bone_mass,body_comp_trunk_diff_lean_mass,body_comp_trunk_diff_fat_free_mass,body_comp_legs_diff_lean_mass,body_comp_legs_diff_fat_free_mass,body_comp_arms_diff_fat_mass,body_comp_legs_diff_tissue_mass,body_comp_total_diff_lean_mass,body_comp_total_diff_fat_free_mass,body_comp_arms_diff_total_mass,body_comp_arms_diff_tissue_mass,body_comp_arms_diff_bone_mass,body_comp_total_diff_total_mass,body_comp_total_diff_tissue_mass,body_comp_arm_left_total_mass,body_comp_arm_left_tissue_mass,body_comp_arm_right_total_mass,body_comp_arms_total_mass,body_comp_arm_right_tissue_mass,body_comp_arms_tissue_mass,body_comp_trunk_left_bone_mass,body_comp_trunk_bone_mass,body_comp_trunk_right_bone_mass,body_comp_arm_right_fat_free_mass,body_comp_arm_right_lean_mass,body_comp_arms_fat_free_mass,body_comp_arm_left_fat_free_mass,body_comp_arms_lean_mass,body_comp_arm_left_lean_mass,body_comp_leg_left_fat_free_mass,body_comp_legs_fat_free_mass,body_comp_leg_right_fat_free_mass,body_comp_leg_left_lean_mass,body_comp_leg_right_lean_mass,body_comp_legs_lean_mass,body_comp_gynoid_lean_mass,body_comp_gynoid_fat_free_mass,body_comp_trunk_left_lean_mass,body_comp_trunk_left_fat_free_mass,body_comp_trunk_fat_free_mass,body_comp_trunk_lean_mass,body_comp_trunk_right_fat_free_mass,body_comp_trunk_right_lean_mass,body_comp_android_fat_free_mass,body_comp_android_lean_mass,body_comp_total_left_fat_free_mass,body_comp_total_lean_mass,body_comp_total_right_lean_mass,body_comp_total_right_fat_free_mass,body_comp_total_fat_free_mass,body_comp_total_left_lean_mass,body_comp_android_bone_mass,gender,height,body_comp_arm_right_bone_mass,body_comp_arms_bone_mass,body_comp_arm_left_bone_mass,body_comp_leg_right_bone_mass,body_comp_legs_bone_mass,body_comp_leg_left_bone_mass,body_comp_total_left_bone_mass,body_comp_gynoid_bone_mass,body_comp_total_right_bone_mass,body_comp_total_bone_mass,body_comp_gynoid_fat_mass,body_comp_leg_left_fat_mass,body_comp_leg_right_fat_mass,body_comp_legs_fat_mass,body_comp_arm_right_fat_mass,body_comp_arm_left_fat_mass,body_comp_arms_fat_mass,body_comp_total_right_fat_mass,body_comp_total_left_fat_mass,body_comp_total_fat_mass,total_scan_sat_area,total_scan_sat_mass,total_scan_sat_volume,body_comp_android_fat_mass,body_comp_trunk_right_fat_mass,body_comp_trunk_left_fat_mass,body_comp_trunk_fat_mass,bmi,total_scan_vat_area,total_scan_vat_mass,total_scan_vat_volume,waist,body_comp_android_tissue_mass,body_comp_android_total_mass,body_comp_trunk_right_tissue_mass,body_comp_trunk_right_total_mass,body_comp_trunk_tissue_mass,body_comp_trunk_left_tissue_mass,body_comp_trunk_left_total_mass,body_comp_trunk_total_mass,body_comp_total_right_tissue_mass,body_comp_total_tissue_mass,body_comp_total_left_tissue_mass,weight,body_comp_total_right_total_mass,body_comp_total_total_mass,body_comp_total_left_total_mass,hips,body_comp_gynoid_total_mass,body_comp_gynoid_tissue_mass,body_comp_leg_left_tissue_mass,body_comp_legs_tissue_mass,body_comp_leg_right_tissue_mass,body_comp_leg_left_total_mass,body_comp_legs_total_mass,body_comp_leg_right_total_mass
AHI,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snore_db_mean,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
saturation_mean,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
desaturations_mean_nadir,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
total_sleep_time,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
sleep_efficiency,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hrv_time_rmssd_during_night,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hrv_time_rmssd_during_wake,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
percent_of_supine_sleep,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
variability_between_sleep_stage_percents,True,True,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
