,body_comp_trunk_diff_tissue_mass,body_comp_trunk_diff_total_mass,body_comp_total_diff_fat_mass,body_comp_trunk_diff_fat_mass,body_comp_total_diff_bone_mass,body_comp_trunk_diff_bone_mass,body_comp_arms_diff_fat_free_mass,body_comp_arms_diff_lean_mass,body_comp_legs_diff_fat_mass,body_comp_legs_diff_bone_mass,body_comp_trunk_diff_lean_mass,body_comp_trunk_diff_fat_free_mass,body_comp_legs_diff_lean_mass,body_comp_legs_diff_fat_free_mass,body_comp_arms_diff_fat_mass,body_comp_legs_diff_tissue_mass,body_comp_total_diff_lean_mass,body_comp_total_diff_fat_free_mass,body_comp_arms_diff_total_mass,body_comp_arms_diff_tissue_mass,body_comp_arms_diff_bone_mass,body_comp_total_diff_total_mass,body_comp_total_diff_tissue_mass,body_comp_arm_left_total_mass,body_comp_arm_left_tissue_mass,body_comp_arm_right_total_mass,body_comp_arms_total_mass,body_comp_arm_right_tissue_mass,body_comp_arms_tissue_mass,body_comp_trunk_left_bone_mass,body_comp_trunk_bone_mass,body_comp_trunk_right_bone_mass,body_comp_arm_right_fat_free_mass,body_comp_arm_right_lean_mass,body_comp_arms_fat_free_mass,body_comp_arm_left_fat_free_mass,body_comp_arms_lean_mass,body_comp_arm_left_lean_mass,body_comp_leg_left_fat_free_mass,body_comp_legs_fat_free_mass,body_comp_leg_right_fat_free_mass,body_comp_leg_left_lean_mass,body_comp_leg_right_lean_mass,body_comp_legs_lean_mass,body_comp_gynoid_lean_mass,body_comp_gynoid_fat_free_mass,body_comp_trunk_left_lean_mass,body_comp_trunk_left_fat_free_mass,body_comp_trunk_fat_free_mass,body_comp_trunk_lean_mass,body_comp_trunk_right_fat_free_mass,body_comp_trunk_right_lean_mass,body_comp_android_fat_free_mass,body_comp_android_lean_mass,body_comp_total_left_fat_free_mass,body_comp_total_lean_mass,body_comp_total_right_lean_mass,body_comp_total_right_fat_free_mass,body_comp_total_fat_free_mass,body_comp_total_left_lean_mass,body_comp_android_bone_mass,gender,height,body_comp_arm_right_bone_mass,body_comp_arms_bone_mass,body_comp_arm_left_bone_mass,body_comp_leg_right_bone_mass,body_comp_legs_bone_mass,body_comp_leg_left_bone_mass,body_comp_total_left_bone_mass,body_comp_gynoid_bone_mass,body_comp_total_right_bone_mass,body_comp_total_bone_mass,body_comp_gynoid_fat_mass,body_comp_leg_left_fat_mass,body_comp_leg_right_fat_mass,body_comp_legs_fat_mass,body_comp_arm_right_fat_mass,body_comp_arm_left_fat_mass,body_comp_arms_fat_mass,body_comp_total_right_fat_mass,body_comp_total_left_fat_mass,body_comp_total_fat_mass,total_scan_sat_area,total_scan_sat_mass,total_scan_sat_volume,body_comp_android_fat_mass,body_comp_trunk_right_fat_mass,body_comp_trunk_left_fat_mass,body_comp_trunk_fat_mass,bmi,total_scan_vat_area,total_scan_vat_mass,total_scan_vat_volume,waist,body_comp_android_tissue_mass,body_comp_android_total_mass,body_comp_trunk_right_tissue_mass,body_comp_trunk_right_total_mass,body_comp_trunk_tissue_mass,body_comp_trunk_left_tissue_mass,body_comp_trunk_left_total_mass,body_comp_trunk_total_mass,body_comp_total_right_tissue_mass,body_comp_total_tissue_mass,body_comp_total_left_tissue_mass,weight,body_comp_total_right_total_mass,body_comp_total_total_mass,body_comp_total_left_total_mass,hips,body_comp_gynoid_total_mass,body_comp_gynoid_tissue_mass,body_comp_leg_left_tissue_mass,body_comp_legs_tissue_mass,body_comp_leg_right_tissue_mass,body_comp_leg_left_total_mass,body_comp_legs_total_mass,body_comp_leg_right_total_mass
AHI,-0.047540657906234504,-0.04491578223201379,-0.09087152898952591,-0.10432036483343915,0.039141911130873806,0.06431444523988464,-0.03847392868396047,-0.037166261034057256,0.0,-0.03191861603503059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02459498607206624,-0.02894563976515545,0.33963923362789894,0.34493862943460296,0.3395716250766142,0.34492566261958785,0.34512606649321664,0.35059075905650094,0.21659900803046053,0.22739142457301575,0.23181462553993448,0.24725144811775726,0.2520667289844027,0.25251480684312727,0.25228459325892827,0.25759176049340243,0.2572766609377076,0.2957259877332621,0.29723458463453717,0.2972554227719272,0.30084783855202496,0.302358194405723,0.30253138918482125,0.2554738388712648,0.25427749735166283,0.2542614977298065,0.25478746829676774,0.25982284484433255,0.2591478647375644,0.2599800110342985,0.2589637783815059,0.2788364256159989,0.2793667052063974,0.2793848786811996,0.28610682196405474,0.28697955408845754,0.28348419624180116,0.28255507484318,0.2831914293898434,0.11430195761984402,0.21469170395642073,0.11756607564880227,0.13476361309487264,0.1356170051802735,0.13751517465853108,0.17211782937116868,0.1732507220685504,0.17349981458701053,0.16946924531522778,0.18306018020245995,0.18290902931247657,0.18044142638002028,0.1591724691143748,0.12950616628922842,0.12588139515773344,0.12828787483755932,0.2571815285578895,0.24976534771247585,0.2572374333916618,0.35495256987739743,0.3641965115000693,0.360192128496109,0.29253553485452044,0.3084928033505619,0.3084928033505619,0.464381638132497,0.44238159526530835,0.44945535294297556,0.44764291721349997,0.4479803895421932,0.5172067877103697,0.5110716338969226,0.5110716338969226,0.4635220041800543,0.46920131520148817,0.46840917170219903,0.45247539864849734,0.4502150052667297,0.4573683241836157,0.45412955059421817,0.45169898724049745,0.455056507558247,0.426170066369705,0.4290541916067124,0.42915204909639326,0.4220749969068475,0.4218528378315568,0.42474862160359794,0.4246376066423482,0.2985124779052529,0.32314298027106914,0.32346082705011053,0.3317047192555316,0.33398919690487544,0.3325917317842598,0.33077013419503937,0.3330701049970617,0.3316752610588157
snore_db_mean,-0.05096249260805604,-0.049692290737241664,-0.04056486959643159,-0.06977617994306437,0.0344473208273634,0.025584067754006564,0.0,0.0,0.0,0.0,-0.030825422323079773,-0.0292966657980566,0.0,0.0,0.02717705629839452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22550764281315494,0.2278172406012784,0.228732191121833,0.23100644847542254,0.23144465790847002,0.2336017619085166,0.1536890440085308,0.15815807054860154,0.15787493955427284,0.17922373800730004,0.18187196870497924,0.1824606542689421,0.18158096084032538,0.1853754867971775,0.18446448363956794,0.20750126936514923,0.20901067316646066,0.20947091343806887,0.21073523078752518,0.21262083839487203,0.21221092239086028,0.18758367781945143,0.18683979969431788,0.1885782440875488,0.18878160572463495,0.18896175332122503,0.1887808889753335,0.18529233091306008,0.18485946076056545,0.21037273728377004,0.2107276086308171,0.19973127758055792,0.20381642898934316,0.2034458697313884,0.2011991358853869,0.20145141156977617,0.20237674048395354,0.08769913151011394,0.15547950646173322,0.09266370596849617,0.11048206537260255,0.11082822503328425,0.11194765831484813,0.1304637374227323,0.12934683970894026,0.12774106089028914,0.12172782229866991,0.1395980349505436,0.13214329685998152,0.13036215428469078,0.08990191982367386,0.0676417376003967,0.06980437874102621,0.06898807050173804,0.1441888746064911,0.13063436581311844,0.13947483849589098,0.19929028617737057,0.20356254477661237,0.20182325892595543,0.1558566139008802,0.17032263223848407,0.17032263223848407,0.27070993016472883,0.25001253937487006,0.25686746502597824,0.25460504205768003,0.26405313190637525,0.30149215563608,0.2999884741130291,0.2999884741130291,0.2942000889099421,0.29968396733464386,0.29931764630023716,0.281131643086161,0.2800851777448275,0.2881864167136072,0.28905596405380907,0.2879217915748665,0.2870749997808678,0.271959052203056,0.2745357753059364,0.27497881094234766,0.2723533251063403,0.2700661635638616,0.27265210762320197,0.2729654269584591,0.1894210790777424,0.21402828788351844,0.21359521588738406,0.21531098781500083,0.21755245501755385,0.21734021412949361,0.215811601400575,0.21813144296550363,0.21789733807028946
saturation_mean,0.04235027683018219,0.04044356610019006,0.0685043590491219,0.09348877693723727,-0.05250396744696551,-0.0472790533872996,0.0,0.0,0.0,0.0,0.0,0.0,-0.029974097520162883,-0.028913413544784355,-0.02856574580979789,-0.02348728366215179,-0.03590798698364307,-0.037870747636267486,0.0,0.0,0.0,0.0,0.0,-0.23650655153733244,-0.24231146325015238,-0.24242245869288265,-0.2430201941511578,-0.24849260327733375,-0.2491326141373284,-0.1305535964789928,-0.139252834979237,-0.14412730080687103,-0.1454214668366446,-0.14971467560791857,-0.14615699402188667,-0.14358717756559702,-0.15074300645800356,-0.14808369284997924,-0.2066839865399592,-0.20849945088690236,-0.20915072496260176,-0.21186729511574867,-0.21440928411256996,-0.21383718223002615,-0.1626839363091868,-0.16162311317637154,-0.17368684410619095,-0.17347410328651539,-0.17717921141064577,-0.1772328698538482,-0.17676073472918938,-0.17653995227392913,-0.19748006571380788,-0.19815568004303402,-0.18728393286876374,-0.19531023937426095,-0.19744547104991805,-0.1938234963457043,-0.19150795852993277,-0.1914716047423785,-0.06028854064484618,-0.1098320555838447,-0.0497472526693326,-0.04815979837773199,-0.04667935331560411,-0.047388463842887675,-0.09272004328523675,-0.0936436777596719,-0.094382041609544,-0.07913360079599792,-0.10568914098179212,-0.09863451809476477,-0.09125566269179076,-0.19652769230775663,-0.17699969658005488,-0.17493905652432562,-0.17655540844424747,-0.24977812166627228,-0.23979941275512823,-0.2492268769669064,-0.3491068175267993,-0.35503938215452835,-0.3526614010976701,-0.2989098804465913,-0.3036944822074733,-0.3036944822074733,-0.4172024865206775,-0.40543302692005995,-0.41087838876806204,-0.40978498597625096,-0.40886336059240125,-0.4406938609996116,-0.4291119902266454,-0.4291119902266454,-0.39185811125776904,-0.3938469743346992,-0.3928910968217954,-0.37664410394714487,-0.37361792115326076,-0.3808112669227056,-0.3779384176069682,-0.3748237809463644,-0.37779274926581863,-0.3534584889570952,-0.35487926517704776,-0.35402513222940557,-0.35085014996207,-0.3478522263514686,-0.34927261318437397,-0.34819317899668667,-0.30137193504284643,-0.2704413794002425,-0.27193946564988575,-0.2894173068079044,-0.2923424761411575,-0.291938330512292,-0.2858264721492396,-0.28883150778596695,-0.28850974823264147
desaturations_mean_nadir,0.024725718401663866,0.02467663211263815,0.03747127737764475,0.06285958647802527,-0.030362011415891666,0.0,0.03231079624090402,0.029701827242061028,-0.02741119438287843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023334341967932316,0.0,0.03075372970407943,0.0,0.0,-0.09038310291979638,-0.09537447841465439,-0.08704485766468921,-0.09013418635120185,-0.09203641357287805,-0.09520314353644856,-0.04287975240175687,-0.04270489119260516,-0.041336629209962124,0.0,0.0,0.0,0.0,0.0,0.0,-0.07415956034604587,-0.07506424693016057,-0.07546551573622293,-0.07779623379468621,-0.07914801683312751,-0.07877039574212372,-0.04062153199154193,-0.04022334275037851,-0.04735343446196662,-0.04759216862702378,-0.04854646865200097,-0.04839119515839514,-0.048236409939793175,-0.04804671671635668,-0.06871322929328709,-0.06884568701099134,-0.05363496314014683,-0.05840285854082812,-0.05976892961302313,-0.057711879909257295,-0.05615863596982528,-0.056165953297199034,-0.027969875977717402,0.0,0.032295530127132155,0.04159796637779762,0.04168582609671875,0.03997575077439191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18725438650698414,-0.17864254770636326,-0.17928070603451346,-0.17959534207496147,-0.18671036594083884,-0.1869673735108482,-0.19032139839399678,-0.24458078780038742,-0.24797125213058316,-0.2466337242039622,-0.2122119696839179,-0.20551930287024514,-0.20551930287024514,-0.25713420086481686,-0.2524499734055148,-0.2568276415976306,-0.2555560585668658,-0.25761155955849374,-0.2451436180746063,-0.23220508661588846,-0.23220508661588846,-0.22162797655142105,-0.21107810870477042,-0.2105002922706131,-0.19345218020393787,-0.1911563963042822,-0.19630845381568926,-0.19565296650942185,-0.19349506292926308,-0.19412286707295973,-0.18556257852321428,-0.1864189180783185,-0.18612699745040417,-0.18552708145325036,-0.18107762530622265,-0.18190109416274475,-0.1814236733554628,-0.20478247030564603,-0.1560577077301476,-0.15813452406716186,-0.17484042658768112,-0.17724612294259376,-0.1778502103579513,-0.1699788448825613,-0.17243919515793701,-0.17306305640737202
total_sleep_time,0.0,0.0,0.0,0.0,0.0,-0.02778355722440989,0.0,0.0,0.0,0.0,0.0,0.0,-0.024185085880941575,-0.02459690809113277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09200058872357589,-0.08975159939090725,-0.09672887033474666,-0.09597587749610675,-0.09462271370777081,-0.09374733929501244,-0.11240587661998291,-0.11651234228895174,-0.11750541428334703,-0.12596227775544705,-0.12581621097782597,-0.12528878371847615,-0.12184419528594108,-0.12500903538091243,-0.12143882587953163,-0.13548032728614,-0.13706684095999916,-0.13768127842153013,-0.13469958134029006,-0.136860756398534,-0.1362733891361825,-0.13015498794480834,-0.13042632121519215,-0.12736561020645332,-0.12770365555298485,-0.13016274027048422,-0.12986415250964248,-0.13036907430702047,-0.12987901875199956,-0.1253026051187116,-0.12529355434614964,-0.13458812781011564,-0.13577556155774015,-0.1361119739819359,-0.13652593892726317,-0.13606219926362417,-0.1342982979701299,-0.06720725019343601,-0.1265470875828816,-0.10429903602045927,-0.11919114460486943,-0.12070459678423544,-0.12019209402859961,-0.13719924252298052,-0.13645323071466475,-0.13524035793730507,-0.12672415727160696,-0.12364451536242613,-0.1286019015833705,-0.13103288442110925,0.05351330952711411,0.05733109457085718,0.05645893062222666,0.05703459626218176,0.03847511920060543,0.03718562655366037,0.03918063357174699,0.0,0.0,0.0,0.0,0.0,0.0,-0.0332772714598357,0.0,0.0,0.0,-0.054726321194598304,-0.05305274244959861,-0.05793492958649452,-0.05793492958649452,-0.091057819039849,-0.09263148311821782,-0.09284387244403934,-0.0971371501845942,-0.09810559416837987,-0.09715781977463785,-0.09541321766652391,-0.09631969162091816,-0.09812898644458169,-0.09813609967848856,-0.09764825383620786,-0.096373618019068,-0.10215297145299211,-0.10027460396967706,-0.09979455222387637,-0.09844553792630234,0.0,-0.07264174125860245,-0.07079353699945357,-0.07281867441903175,-0.07440185021254986,-0.07536863114817927,-0.07704827787442149,-0.078632013880504,-0.07949126089592809
sleep_efficiency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09299921838153509,-0.09289827682251155,-0.09528617303788348,-0.09508449379810333,-0.0953431424933856,-0.09498267849659378,-0.06647573667786655,-0.0668746673943349,-0.06530744977205864,-0.09483490098313302,-0.09580672483103973,-0.09440651634040464,-0.09272170147349562,-0.09534061855961055,-0.09356455704335112,-0.07995381252262332,-0.0797578242903906,-0.07860629155035148,-0.0800428505818032,-0.07862077539487926,-0.07980727201979855,-0.07685276310926759,-0.07702884345678442,-0.08749459489679519,-0.08742524130295294,-0.08935587042289829,-0.08959945408340089,-0.08913289146600757,-0.08927094117086716,-0.09142408930682591,-0.09149272899850831,-0.08727049922924351,-0.08977870157886489,-0.09069764164399205,-0.09010892578876407,-0.08904017456314231,-0.08810241896174091,-0.041272280742041055,-0.07962565739330746,-0.05178116408282009,-0.06868000337159634,-0.06856403789981927,-0.06928600814324021,-0.07032528319275098,-0.07087588679188653,-0.07074538408666917,-0.06179064915692504,-0.0752646175057241,-0.06818923451238734,-0.06664303806594812,0.0,0.03225479401407087,0.03408101591947824,0.033316621549965765,0.0,0.0,0.0,0.0,0.0,0.0,-0.029017888748446716,-0.032715263455937706,-0.032715263455937706,-0.060576085769635586,-0.052726913892064145,-0.052884026283052665,-0.052903535815770744,-0.07148906570707964,-0.07310454021865809,-0.073481630233906,-0.073481630233906,-0.09009561713777553,-0.09511289451569616,-0.09517090027690123,-0.09451419204627658,-0.09452120215608155,-0.09544617206309618,-0.0948209186422668,-0.09486521438618645,-0.09548282347733394,-0.08549004801032598,-0.08436637804356056,-0.08289453806185564,-0.08664914849697712,-0.08597148034731177,-0.08473651986885276,-0.08320612196520047,-0.029156549693234397,-0.04985888450217518,-0.04858647165804817,-0.04481404967039498,-0.04364557377169722,-0.04243657391287196,-0.04699158952134333,-0.0460584368529804,-0.04468006463349696
hrv_time_rmssd_during_night,0.0,0.0,0.0,0.0,0.0,0.0,0.0287633818978329,0.027842183056339127,-0.03758243751456043,-0.048179281477695846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023402116096497456,0.023376991773567946,0.0,0.0,0.0,0.17036158507300955,0.16363910030361128,0.1725249077227702,0.1740105204886334,0.1657352477801466,0.16736321674476434,0.20532662379351044,0.20611662390154148,0.20087797834890028,0.26326176378626737,0.26163551096895604,0.26617999800692177,0.26498281170414234,0.26452621798398385,0.26342345210624546,0.24136340737967613,0.24157817436066803,0.23988500810626254,0.23776733507276954,0.23628545767073847,0.2381322671790988,0.2641088092857167,0.2647550428470658,0.26685704154534423,0.2667106541128656,0.2704958570312011,0.2707971203579604,0.2690729050595433,0.26944493686327026,0.24976419733567973,0.24969350974976182,0.2651668782079538,0.2643605754971796,0.26300006215180816,0.26403808203147444,0.26540242480018417,0.26412259234963537,0.13383967921885806,0.2723520281501685,0.23271686595314794,0.2749092429311324,0.27574366184131904,0.27438494544616504,0.2718804894016455,0.27398982400416133,0.27447101327454887,0.2576263962151947,0.2529629370956508,0.2513115508508996,0.2606055065156518,-0.2125514544531556,-0.21688481338111967,-0.21956029161886542,-0.21909060878144995,-0.18526695009480465,-0.1806939949873827,-0.18648494125839146,-0.17172996302462948,-0.1702191352065626,-0.17128722168669902,-0.16911696181267252,-0.13923663635515687,-0.13923663635515687,-0.10463385802011166,-0.12310781217064204,-0.12268633235156778,-0.12334709359729232,-0.03767196468629954,-0.05113356408464111,-0.031793004276122326,-0.031793004276122326,0.03334493845922108,0.06665819921621909,0.06753902018053716,0.09202979038114509,0.09508822228394681,0.09212141402759391,0.09118629645427935,0.094264610333069,0.09519692737243254,0.09902049599702055,0.09997184674365754,0.10021084062518117,0.10617147206404036,0.10584291725030077,0.10699676866618324,0.10728012808650705,-0.044352226623452944,0.08038039095804317,0.07486287151111233,0.057579694518462274,0.055071551219141146,0.05246196472599658,0.06899367978983477,0.06633377195907203,0.06363513131921172
hrv_time_rmssd_during_wake,0.0,0.0,0.0,0.0,0.0,-0.024083128376317483,0.0,0.0,0.0,-0.023900909248645172,-0.025880111393153674,-0.026710381574962066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09032355793796719,0.08619605264528477,0.08899289252732102,0.09144458232484098,0.08477936990058896,0.08738027623537602,0.09910953364352353,0.09531576820086016,0.08856963409099061,0.14368989840068014,0.14240341325172934,0.14818066393507306,0.1483336222442079,0.14692716421128757,0.14711454063859605,0.1256553220162466,0.12528918657880223,0.12382714716939167,0.12345667884475248,0.12139882727045878,0.12298286623722912,0.13422164023106498,0.1350429978260107,0.1467224228375463,0.14613095138796017,0.1462555243855629,0.14700149612225688,0.14333182325652363,0.1442391861456428,0.13597445542116934,0.13585296119695178,0.1419897643362308,0.14166919576706932,0.14081879979279333,0.1414078827653235,0.14218252890691957,0.1415982699218124,0.07905179292032012,0.1348172286387714,0.11938327218034829,0.15374184792091375,0.15621563887474038,0.1554813814085308,0.1504342504892091,0.15070106412404885,0.15002020085248627,0.13251611156873125,0.1450593217155306,0.1369394438855749,0.13810560870223842,-0.1320179738074238,-0.13224895065358133,-0.13335140319740657,-0.13323031514943656,-0.11250699243194383,-0.10744695646930688,-0.11324107695815998,-0.11835366410893293,-0.11812013032641772,-0.11852352947371861,-0.10702374149840001,-0.09374296775470012,-0.09374296775470012,-0.08696598647085935,-0.09591140858197271,-0.09552791172346557,-0.09602266715822119,-0.03761046235708619,-0.06243543834603007,-0.05311492344899259,-0.05311492344899259,0.0,0.0,0.0,0.030811769949348446,0.032351038961879214,0.03271406777477235,0.033827292944486276,0.03553092578294967,0.03430653527939104,0.038606598425048926,0.039275731511141186,0.039647631666929695,0.043198508813419495,0.04276377618870569,0.04340408545595488,0.04360293511494264,-0.025542496914086322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
percent_of_supine_sleep,0.0,0.0,0.026870921269078668,0.02599805527014901,0.0,0.0,-0.028328080355624324,-0.028570136999105912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02794599595698766,-0.02775203173016223,0.0,0.0,0.0,0.0835312122180948,0.0840367763173121,0.07292346408738179,0.08059525942118821,0.07315883805793222,0.08113890545904236,0.0645314097421561,0.06509366909354591,0.06401954615917893,0.05855622021045811,0.05822310891731035,0.0632754123270077,0.06647810742801388,0.06314708452417069,0.06653997510343704,0.06695353728065485,0.06745707223834427,0.06721593856104624,0.06678028467485206,0.06716975577615648,0.06748140345983097,0.07199285431687356,0.07210729129807318,0.05595400866601204,0.05666205651462847,0.058311980888288845,0.05762001908163347,0.05928458193276999,0.05859564063141365,0.04616825012013293,0.045769288641098534,0.06328754522740847,0.0627821298804493,0.06229798910371052,0.06265114338353614,0.0632385779886015,0.06295299161110098,0.0530254522385592,0.0,0.0,0.05414187215419448,0.05495855876820556,0.05656667957990931,0.06095506856779654,0.06123890165815884,0.061052591984908484,0.06023973729083646,0.06739044461055255,0.06323487320275319,0.06388824243017269,0.0,0.0,0.0,0.0,0.0,0.02441272731081268,0.023669830418610725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06633443134748354,0.0,0.0,0.0,0.03179301575888851,0.03327770864279989,0.03363974738433131,0.051708579846495156,0.052364145828389184,0.04978281117616997,0.04751478376585207,0.048237916627500016,0.050465866885216475,0.0661784441920879,0.06577565977367723,0.06484480236746719,0.0651454987957473,0.06693084795323964,0.06665494509842228,0.0656668275586461,0.062181185156614104,0.08156125627769127,0.08086585523489098,0.0712740619525548,0.07174658422790342,0.0713896279099689,0.07275048681728423,0.07321843415024726,0.07281472594478514
variability_between_sleep_stage_percents,0.0,0.0,-0.027007682064457854,0.0,0.0,0.0,0.02427809390374906,0.024600767271384907,0.0,0.0,0.0,0.0,0.0290563873067206,0.027915115162396496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04490986788854371,0.04464422650183348,0.04151734325317192,0.03930778190821709,0.04109113570801386,0.038800741058309586,0.028619092427454702,0.030254719785034648,0.0320053480070984,0.027421843280833726,0.031097762260982313,0.02926199396306292,0.03147993162971094,0.031507979224094075,0.04173997980720505,0.04097891017622722,0.040506213880289424,0.041398142710841725,0.039605864171031596,0.04066139294823939,0.04195603629797731,0.04234476211443934,0.037847122131909716,0.038469659190794835,0.03903831739314283,0.03856577379102271,0.038114664299568814,0.03796893891600175,0.0,0.09830425732742076,0.059152570063137754,0.05605779163501608,0.05390861754260314,0.05216452932708243,0.04262734797115974,0.04392375919724366,0.044579241232685564,0.03435985289585231,0.03003669549304326,0.028115630479564665,0.03174901861160433,-0.08388111625593939,-0.07982351751899854,-0.0800853650159672,-0.0802030565781334,-0.07444308280214736,-0.07819181813660385,-0.07757065539418075,-0.06678888029130557,-0.06364159191040071,-0.06534659146569491,-0.07455765345947515,-0.06971111649353104,-0.06971111649353104,-0.04178632765541164,-0.05083981501811799,-0.046235579587492456,-0.048619827187235364,-0.053639952792716585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06279692335254214,-0.031223472682304687,-0.03260605726841741,-0.03176056821609683,-0.030798026458473307,-0.028769280616298222,-0.02864552149984858,-0.027816214644967092,-0.02609920453040842
