,bt__creatinine,gender,bt__urea,bt__sodium,bt__potassium
saturation_mean,2.201599578999998e-18,2.2947911791073605e-17,8.27271234825968e-16,2.5411893818722183e-08,1.7346830732983526e-08
total_sleep_time,2.4971582310211046e-08,1.37557514363735e-20,8.385594933632953e-05,0.8790547947765996,0.9382383882004861
sleep_efficiency,0.004859232577720459,5.423876122057868e-07,6.0956632892549485e-06,0.08208943953480034,0.0006375503608561026
AHI,6.207687988945906e-42,5.986131002001159e-58,3.803949617666731e-17,1.2769130040100949e-10,2.411198889913843e-12
hrv_time_rmssd_during_night,7.83938894334315e-52,8.040657187945078e-91,5.963974219812088e-07,0.01643819792402069,0.6609201042360462
desaturations_mean_nadir,0.7571273761569518,0.5145790989511786,0.20822821097827826,0.008172764767037455,0.00465386198374915
percent_of_supine_sleep,0.209558092409609,0.04496174926882579,0.7591970114881317,0.12208540489822728,0.35028344752538965
snore_db_mean,1.3812156236854641e-12,3.5828616287670335e-28,1.159032506363297e-05,0.0004401369799101526,0.009907636688527593
variability_between_sleep_stage_percents,1.492904328567609e-11,3.416598207960706e-10,1.6341454324760747e-05,0.7102327469398237,0.2303423155857067
hrv_time_rmssd_during_wake,6.9006559077614355e-12,3.1700562987081906e-20,0.1362246789347458,0.6849306509558336,0.49929513194283837
