,gender,Pita,Beer,Hummus Salad,Banana,Beef,Whiskey,Chicken soup,Schnitzel,Chicken legs,Cold cut,Cereals,Pizza,Ketchup,Soy sauce,Tomato sauce,Chocolate,Chocolate spread,Pasta,Tofu,Dates,Tahini,Cherry tomatoes,Beet,Sweet potato,Carrots,Cucumber,Oatmeal,Ciabatta,Dark Chocolate,Parmesan cheese,Popcorn,Edamame,Date honey,Majadra,Sugar Free Gum,Hummus,Quinoa,Granola,Peanut Butter,Pesto,Tomato paste,Chia seeds,Spinach,Feta Cheese,Flax seeds,Lentils,Pecan,Walnuts,Mushrooms,Almond Beverage,Soymilk,Mandarin,Lentil Soup,Strawberry,Persimmon,Avocado,Pomelo,Parsley,Vegetable Soup,Orange,Pea soup,Raisins,Croissant,Cereal Bar,Flavored Yogurt,Canned Tuna Fish,Diet Coke,Kebab,Turkey Shawarma,Falafel,Steak,Tuna Sandwich,Light Beer,Lasagna,Peanuts,Natural Yogurt,Pistachio,Chicken Meatballs,Popsicle,French fries,Vodka or Arak,Yellow Cheese,Ice cream bar,Salty Cookies,Chicken Liver,Pullet,Tilapia,Sausages,Coke,Stuffed Cabbage,Cottage cheese,Cheesecake,Meatballs,Soda water,Chicken drumstick,Chicken Steak,Pastrami,Potato salad,Chicken breast,Eggplant Salad,Almonds,Blueberries,Arugula,Broccoli,Coconut,Brazil nuts,Pumpkin seeds,Pepper,Lettuce,Coconut milk,Sprouts,Balsamic vinegar,Butter,Fennel,Maple syrup,Salt,Celery,Tea,Egg,Lemonade,Rugelach,Green Tea,Pumpkin,Spinach Quiche,Small radish,Cocoa Powder,Cooked cabbage,Green onions,Hazelnuts,Cooked green beans,Sunflower seeds,Wholemeal Bread,Rye Bread,Garlic,Pomegranate,Olive oil,Cashew,Cauliflower,Zucchini,Kohlrabi,Onion,Cinnamon,Lemon juice,White Cheese,Coleslaw,Heavy cream,Sweet Challah,Goat Milk Yogurt,Milk,Apricot,Wholemeal Crackers,Mayonnaise,Smoked Salmon,Boiled corn,Salmon,Gilthead Bream,Omelette,Chestnuts,Roasted eggplant,Oat Drink,Oatmeal Cereal,ginger,Coriander,Tabbouleh Salad,Bolognese,Gouda Cheese,Smoothies,Mozzarella Cheese,Dried cranberries,Whipped cream,Peas,Sauteed vegetables,Kiwi,Lettuce Salad,Rice crackers,Green cabbage,Prune,Camembert or Brie,Goat Cheese,Fried onions,Eggplant,Green Salad,Wine,Sugar,Baguette,Lemon,Canned corn,Coated peanuts,Noodles,Pineapple,Halva,emmer wheat bread,Bread,Bulgur,Sushi,Rice Noodles,Tomatoes,Wholemeal Roll,Bagel,Coated Wafers,Biscuit,Croutons,Brown Sugar,Jachnun,English cake,Jewish donut,Coconut water,Cookies,Pretzels,Sweet Potato Soup,Wafers,Bamba,Pancake,Honey,Labneh Cheese,Mango,Apple,Olives,Hamburger,Pickled cucumber,Roll,Rice,Bissli,Ice cream,Israeli couscous,Potatoes,Couscous,Pasta Bolognese,Grapes,Watermelon,Cherries,Nectarine,Plum,Peach,Fig,Melon
AHI,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False
snore_db_mean,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False
total_sleep_time,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True
saturation_mean,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True
desaturations_mean_nadir,True,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True
hrv_time_rmssd_during_night,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True
hrv_time_rmssd_during_wake,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False
variability_between_sleep_stage_percents,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
percent_of_supine_sleep,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
sleep_efficiency,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
