,adrr,below_54,igc,grade_hypo,lbgi,hypo_index,below_70,gender,grade_eugly,in_range_63_140,SdHHMM,cv,CV_Measures_Mean,SdWSH,GVP,SD.Roc,iqr,MAD,above_200,grade,m_value,mage,sd,SdW,above_250,range,CV_Measures_SD,SdDM,bt__hba1c,bt__glucose,Min.,COGI,in_range_70_180,j_index,1st Qu.,AUC,Mean,ea1c,gmi,Median,3rd Qu.,above_180,Max.,hbgi,hyper_index,grade_hyper,above_140,MAG,MODD,SdB,Conga,SdBDM
saturation_mean,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
desaturations_mean_nadir,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AHI,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
snore_db_mean,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hrv_time_rmssd_during_night,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
variability_between_sleep_stage_percents,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
hrv_time_rmssd_during_wake,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sleep_efficiency,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
total_sleep_time,True,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False
percent_of_supine_sleep,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
