,bt__creatinine,gender,bt__urea,bt__sodium,bt__potassium
saturation_mean,-0.12459577007712894,-0.12040681224254304,-0.12652650402830296,-0.08393885000149111,-0.08466333369688177
total_sleep_time,-0.07958000307676757,-0.1320173904002702,-0.062007963113189055,0.0,0.0
sleep_efficiency,-0.040258567127731744,-0.07133358342492875,-0.07128662292860102,0.0,-0.051354627156151696
AHI,0.19222299595782918,0.2257836862277064,0.13227147926710875,0.09683309610017186,0.10516498960882255
hrv_time_rmssd_during_night,0.2157122040383034,0.28434542104075516,0.07926434827522502,0.036494382645611174,0.0
desaturations_mean_nadir,0.0,0.0,0.0,-0.04006886005615211,-0.04274014611714186
percent_of_supine_sleep,0.0,0.028845332413877947,0.0,0.0,0.0
snore_db_mean,0.10202544618016267,0.15738140174068393,0.06978058738890026,0.05353328276722795,0.03916710785711394
variability_between_sleep_stage_percents,0.09638571288051896,0.08940958970435414,0.06800951846032995,0.0,0.0
hrv_time_rmssd_during_wake,0.09902082975244016,0.13229070258364486,0.0,0.0,0.0
