,AHI,snore_db_mean,saturation_mean,desaturations_mean_nadir,percent_of_supine_sleep,total_sleep_time,sleep_efficiency,variability_between_sleep_stage_percents,hrv_time_rmssd_during_night,hrv_time_rmssd_during_wake,body_system
total_scan_vat_area,0.5172067877103697,0.30149215563608,-0.4406938609996116,-0.2451436180746063,,-0.0530527424495986,-0.073104540218658,,-0.0511335640846411,-0.06243543834603,body_composition
total_scan_vat_volume,0.5110716338969226,0.2999884741130291,-0.4291119902266454,-0.2322050866158884,,-0.0579349295864945,-0.073481630233906,,-0.0317930042761223,-0.0531149234489925,body_composition
total_scan_vat_mass,0.5110716338969226,0.2999884741130291,-0.4291119902266454,-0.2322050866158884,,-0.0579349295864945,-0.073481630233906,,-0.0317930042761223,-0.0531149234489925,body_composition
body_comp_android_tissue_mass,0.4692013152014881,0.2996839673346438,-0.3938469743346992,-0.2110781087047704,0.0332777086427998,-0.0926314831182178,-0.0951128945156961,,0.066658199216219,,body_composition
body_comp_android_total_mass,0.468409171702199,0.2993176463002371,-0.3928910968217954,-0.2105002922706131,0.0336397473843313,-0.0928438724440393,-0.0951709002769012,,0.0675390201805371,,body_composition
body_comp_android_fat_mass,0.464381638132497,0.2707099301647288,-0.4172024865206775,-0.2571342008648168,,-0.0332772714598357,-0.0605760857696355,-0.0417863276554116,-0.1046338580201116,-0.0869659864708593,body_composition
waist,0.4635220041800543,0.2942000889099421,-0.391858111257769,-0.221627976551421,0.0317930157588885,-0.091057819039849,-0.0900956171377755,,0.033344938459221,,body_composition
body_comp_trunk_tissue_mass,0.4573683241836157,0.2881864167136072,-0.3808112669227056,-0.1963084538156892,0.0497828111761699,-0.0971578197746378,-0.0954461720630961,,0.0921214140275939,0.0327140677747723,body_composition
body_comp_trunk_total_mass,0.455056507558247,0.2870749997808678,-0.3777927492658186,-0.1941228670729597,0.0504658668852164,-0.0981289864445816,-0.0954828234773339,,0.0951969273724325,0.034306535279391,body_composition
body_comp_trunk_left_tissue_mass,0.4541295505942181,0.289055964053809,-0.3779384176069682,-0.1956529665094218,0.047514783765852,-0.0954132176665239,-0.0948209186422668,,0.0911862964542793,0.0338272929444862,body_composition
bmi,0.4572152082057621,0.2686359132531101,-0.4164280202289749,-0.2540561099255516,0.0677565262097527,-0.0647028364269463,-0.069674557993497,-0.0555855003627328,-0.0399735930849223,-0.036828027451905,Age_Gender_BMI
