,gender,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs,OtherantidepressantsinATC,Selectiveserotoninreuptakeinhibitors,Benzodiazepinederivativeanxiolytics,Progestogensystemichormonalcontraceptives,Progestogensandestrogenssystemiccontraceptivessequentialpreparations,ProtonpumpinhibitorsforpepticulcerandGORD,ACEinhibitorsandcalciumchannelblockers,Preparationsinhibitinguricacidproduction,Thiazidesplain,VitaminBn12ncyanocobalaminandanalogues,Progestogensandestrogenssequentialpreparations,Glucagonlikepeptide1GLP1analogues,IRONANTIANEMICPREPARATIONS,AngiotensinIIreceptorblockersARBsplain,Drugsusedinerectiledysfunction,Alphaadrenoreceptorantagonistsbenignprostatichypertrophy,Fibrateslipidmodifyingdrugsplain,Dihydropyridinederivativeselectivecalciumchannelblockerswithmainlyvasculareffects,Betablockingagentsselective,ACEinhibitorsplain,AngiotensinIIreceptorblockersARBsandcalciumchannelblockers,Plateletaggregationinhibitorsexclheparin
saturation_mean,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
total_sleep_time,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True
sleep_efficiency,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True
desaturations_mean_nadir,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True
percent_of_supine_sleep,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
AHI,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False
hrv_time_rmssd_during_night,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
variability_between_sleep_stage_percents,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True
snore_db_mean,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,True,True,True,True
hrv_time_rmssd_during_wake,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
