,gender,from_l_thigh_to_l_ankle_pwv,from_r_thigh_to_r_ankle_pwv,r_mv_aVL,r_mv_I,standing_one_min_blood_pressure_systolic,lying_blood_pressure_systolic,standing_three_min_blood_pressure_systolic,sitting_blood_pressure_systolic,standing_one_min_blood_pressure_diastolic,standing_three_min_blood_pressure_diastolic,sitting_blood_pressure_diastolic,lying_blood_pressure_diastolic,l_brachial_pressure,r_brachial_pressure,r_ankle_pressure,l_ankle_pressure,t_mv_II,t_mv_III,t_axis,s_mv_III,r_mv_II,from_r_thigh_to_r_ankle_transit_time,from_l_thigh_to_l_ankle_transit_time,r_mv_aVF,r_ms_III,t_mv_aVF,r_mv_III,qrs_axis,s_mv_V3,s_mv_V4,s_mv_V6,s_mv_V5,Average_width,s_mv_I,hr_bpm,sitting_blood_pressure_pulse_rate,lying_blood_pressure_pulse_rate,standing_one_min_blood_pressure_pulse_rate,standing_three_min_blood_pressure_pulse_rate,t_mv_aVR,qtc_ms,s_mv_V2,st_mv_aVR,st_mv_V6,t_mv_I,st_mv_V5,st_mv_V4,st_mv_V3,r_mv_V6,qt_ms,r_r_ms,from_l_thigh_to_l_ankle_distance,from_r_thigh_to_r_ankle_distance,r_mv_V4,r_mv_V5,t_mv_V3,t_mv_V6,t_mv_V4,t_mv_V5,p_ms,intima_media_th_mm_1_intima_media_thickness,intima_media_th_mm_2_intima_media_thickness,r_ms_V2,t_mv_V1,p_mv_I,r_ms_aVL,pr_ms,t_mv_aVL,qrs_ms,q_ms_I,st_mv_V1,j_mv_V1,r_mv_V1,r_ms_aVR,r_mv_V2,p_mv_aVL,r_ms_I,p_mv_V4,p_mv_V5,p_mv_V6,p_mv_V3,r_ms_V1,l_ankle_index,l_abi,r_abi,r_ankle_index,q_mv_I,r_ms_aVF,p_axis,p_mv_III,p_mv_aVF,Artery_Average_width,Vessel_density,Artery_Vessel_density,Fractal_dimension,q_ms_aVL,p_mv_II,q_mv_aVR,s_mv_V1,Vein_Average_width,s_mv_aVR,Tortuosity_density,Artery_Tortuosity_density,s_mv_aVL,q_mv_aVL,q_ms_aVR,r_mv_V3,j_mv_aVF,j_mv_III,j_mv_II,st_mv_III,r_mv_aVR,r_brachial_index,Disc_height,s_mv_aVF,participant_id,l_brachial_index,r_ms_V3,j_mv_aVR,Disc_width,p_mv_V2,Vein_Tortuosity_density,Artery_Squared_curvature_tortuosity,Artery_Distance_tortuosity,s_mv_II,Vein_Vessel_density,j_mv_aVL,intima_media_th_2_fit,intima_media_th_1_fit,j_mv_I,j_mv_V4,j_mv_V5,j_mv_V6,st_mv_aVF,st_mv_II,t_mv_V2,st_mv_I,j_mv_V2,j_mv_V3,st_mv_V2,st_mv_aVL,Artery_Fractal_dimension,Vein_Fractal_dimension,p_mv_aVR,r_ms_V4,r_ms_V6,r_ms_V5
AHI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False
snore_db_mean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True
saturation_mean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
desaturations_mean_nadir,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
hrv_time_rmssd_during_night,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hrv_time_rmssd_during_wake,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
variability_between_sleep_stage_percents,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False
total_sleep_time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
percent_of_supine_sleep,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False
sleep_efficiency,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,True,True,True
