,body_ribs_area,body_spine_bmc,body_spine_bmd,body_leg_right_bmc,body_leg_left_bmc,body_legs_bmc,body_total_left_bmc,body_total_bmc,body_total_right_bmc,femur_left_shaft_area,femur_right_shaft_area,femur_shaft_mean_area,spine_l1_l4_area,spine_l2_l3_area,spine_l1_l3_area,spine_l2_area,body_total_left_area,body_total_area,body_total_right_area,body_leg_right_area,body_leg_left_area,body_legs_area,femur_right_wards_area,femur_right_upper_neck_area,femur_right_lower_neck_area,femur_right_neck_area,femur_lower_neck_mean_area,femur_wards_mean_area,femur_left_wards_area,femur_neck_mean_area,femur_upper_neck_mean_area,femur_left_lower_neck_area,femur_left_neck_area,femur_left_upper_neck_area,spine_l2_l4_average_width,spine_l3_average_width,spine_l2_l3_average_width,spine_l1_area,spine_l1_l2_area,gender,femur_right_total_area,femur_left_total_area,femur_total_mean_area,spine_l1_average_width,spine_l1_l2_average_width,spine_l1_l3_average_width,spine_l1_l4_average_width,spine_l2_average_width,femur_right_troch_area,femur_left_troch_area,femur_troch_mean_area,femur_left_total_bmc,femur_right_total_bmc,femur_total_mean_bmc,femur_right_troch_bmc,femur_left_troch_bmc,femur_troch_mean_bmc,body_pelvis_area,femur_right_shaft_bmc,femur_left_shaft_bmc,femur_shaft_mean_bmc,body_trunk_left_bmc,body_trunk_bmc,body_trunk_right_bmc,body_trunk_left_area,body_trunk_area,body_trunk_right_area,body_ribs_bmc,body_ribs_bmd,body_trunk_left_bmd,femur_right_troch_bmd,femur_left_troch_bmd,femur_troch_mean_bmd,body_trunk_bmd,body_trunk_right_bmd,femur_right_total_bmd,femur_left_total_bmd,femur_total_mean_bmd,femur_right_shaft_bmd,femur_left_shaft_bmd,femur_shaft_mean_bmd,body_arm_left_bmc,body_arm_right_bmc,body_arms_bmc,body_arm_left_area,body_arm_right_area,body_arms_area,spine_l3_l4_average_width,spine_l4_average_width,spine_l4_area,spine_l3_l4_area,spine_l2_l4_area,spine_l3_area,femur_left_wards_bmc,femur_left_neck_bmc,femur_right_wards_bmc,femur_wards_mean_bmc,femur_left_lower_neck_bmc,femur_neck_mean_bmc,femur_right_neck_bmc,femur_lower_neck_mean_bmc,femur_right_lower_neck_bmc,body_pelvis_bmc,body_leg_right_bmd,body_leg_left_bmd,body_legs_bmd,femur_left_upper_neck_bmc,femur_right_upper_neck_bmc,femur_upper_neck_mean_bmc,spine_l2_l3_bmc,spine_l3_bmc,spine_l4_bmc,spine_l2_l4_bmc,spine_l3_l4_bmc,spine_l2_bmc,spine_l1_bmc,spine_l1_l4_bmc,spine_l1_l2_bmc,spine_l1_l3_bmc,body_arm_right_bmd,body_arm_left_bmd,body_arms_bmd,body_total_left_bmd,body_total_bmd,body_total_right_bmd,body_head_bmd,body_spine_area,femur_troch_diff_area,femur_shaft_diff_bmc,femur_troch_diff_bmc,femur_shaft_diff_area,femur_upper_neck_diff_bmd,femur_wards_diff_area,femur_wards_diff_bmc,femur_upper_neck_diff_bmc,femur_total_diff_bmc,femur_lower_neck_diff_bmc,femur_neck_diff_bmc,femur_troch_diff_bmd,femur_shaft_diff_bmd,femur_total_diff_bmd,femur_neck_diff_bmd,femur_wards_diff_bmd,femur_lower_neck_diff_bmd,femur_total_diff_area,femur_lower_neck_diff_area,femur_neck_diff_area,femur_upper_neck_diff_area,body_head_area,spine_l1_l4_average_height,spine_l2_l4_average_height,spine_l3_average_height,spine_l1_average_height,spine_l1_l3_average_height,spine_l2_l3_average_height,spine_l1_l2_average_height,spine_l2_average_height,spine_l3_l4_average_height,spine_l4_average_height,spine_l4_bmd,femur_right_neck_bmd,femur_left_neck_bmd,femur_neck_mean_bmd,body_pelvis_bmd,femur_left_lower_neck_bmd,femur_lower_neck_mean_bmd,femur_right_lower_neck_bmd,body_head_bmc,femur_right_upper_neck_bmd,femur_left_upper_neck_bmd,femur_upper_neck_mean_bmd,femur_left_wards_bmd,femur_right_wards_bmd,femur_wards_mean_bmd,spine_l2_l4_bmd,spine_l3_l4_bmd,spine_l1_l4_bmd,spine_l3_bmd,spine_l1_bmd,spine_l1_l3_bmd,spine_l2_l3_bmd,spine_l1_l2_bmd,spine_l2_bmd
hrv_time_rmssd_during_night,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AHI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True
snore_db_mean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True
hrv_time_rmssd_during_wake,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
total_sleep_time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
saturation_mean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
sleep_efficiency,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
percent_of_supine_sleep,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
desaturations_mean_nadir,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,False,False
variability_between_sleep_stage_percents,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
