,"Age, BMI & VAT","Sleep Quality
(average of nights)"
AlmondBeverage,False,True
Almonds,False,True
Apple,False,True
AppleCake,False,True
Applejuice,True,True
Apricot,True,True
Artichoke,True,True
Arugula,False,True
Avocado,False,True
Bagel,False,True
Baguette,False,True
Balsamicvinegar,False,True
Bamba,False,True
Banana,False,True
Beans,True,True
Beansblackeyedpeas,False,True
Beef,False,True
Beer,False,True
Beet,True,True
BeetSalad,False,True
Biscuit,True,True
Bissli,False,True
Blueberries,True,True
Boiledcorn,True,True
Bolognese,False,False
Brazilnuts,False,True
Bread,False,True
Broccoli,False,True
BrownSugar,False,True
Brownies,False,True
Bulgur,True,True
Burekas,True,True
Butter,False,True
ButterCookies,True,True
CaesarSalad,False,True
CamembertorBrie,False,True
Candies,True,True
CannedTunaFish,False,True
Cannedcorn,False,True
Cappuccino,False,False
CarrotCake,False,True
CarrotSalad,False,False
Carrots,False,True
Cashew,False,True
Cauliflower,True,True
Celery,False,True
CerealBar,False,True
Cereals,False,False
Ceviche,False,True
Challah,True,True
Cheesecake,False,True
Cherries,False,True
Cherrytomatoes,False,True
Chestnuts,True,True
Chiaseeds,False,True
Chicken,False,True
ChickenMeatballs,False,True
ChickenSteak,False,True
Chickenbreast,False,True
Chickendrumstick,True,True
Chickenlegs,False,True
Chickensoup,False,False
Chilipepper,False,True
Chocolate,False,True
ChocolateCookies,True,True
Chocolatecake,True,True
Chocolatespread,False,True
Ciabatta,False,True
Cinnamon,True,True
CoatedWafers,False,True
Coatedpeanuts,False,True
CocoaPowder,True,True
Coconut,False,True
Coconutmilk,False,True
Coconutwater,True,True
Coffee,False,True
Coldcut,False,True
Coleslaw,False,True
Cookedcabbage,False,True
Cookedgreenbeans,False,True
Cookedvegetables,False,True
Cookedzucchini,True,True
Cookies,False,True
Cookingcream,True,True
Coriander,True,True
Corn,False,False
Cottagecheese,False,True
Couscous,False,True
Cracker,False,False
Cranberries,False,False
CreamCheese,False,True
Croissant,True,True
Croutons,False,True
Cuba,True,True
Cucumber,False,True
Danish,False,False
DarkChocolate,False,False
Datehoney,True,True
Dates,False,True
DietCoke,False,True
Driedcranberries,True,True
Edamame,False,True
Egg,True,True
EggSalad,True,True
Eggyolk,False,True
Eggplant,False,True
EggplantSalad,True,True
Englishcake,False,False
Falafel,False,True
Fennel,False,True
FetaCheese,False,True
Fig,False,True
FlavoredYogurt,True,True
Flaxseeds,False,True
Frenchfries,False,True
Friedeggplant,False,False
Friedonions,True,True
FruitDrink,True,True
Garlic,False,True
GiltheadBream,False,False
GoatCheese,False,True
GoatMilkYogurt,False,True
GoudaCheese,False,True
Granola,False,True
Grapes,True,True
GreenSalad,False,True
GreenTea,True,True
Greenbeans,False,True
Greencabbage,False,True
Greenonions,False,True
Grilledvegetables,True,True
Guacamole,True,True
Halva,True,True
Hamburger,False,True
Hazelnuts,True,True
Heavycream,True,True
Honey,False,True
Hummus,False,True
HummusSalad,False,False
Icecream,True,True
Icecreambar,False,True
Israelicouscous,False,False
Jachnun,False,True
Jam,False,True
Jewishdonut,True,True
Kebab,True,True
Ketchup,False,True
Kiwi,False,True
Knafeh,False,True
Kohlrabi,False,True
LabnehCheese,False,True
Lasagna,True,True
Lemon,True,True
Lemonjuice,False,True
Lemonade,False,False
LentilSoup,False,True
Lentils,False,True
Lettuce,True,True
LettuceSalad,False,True
LightBeer,True,True
LightBread,False,True
LightCreamCheese,True,True
LightYellowCheese,False,True
LowfatMilk,True,True
Majadra,False,True
Mandarin,False,False
Mango,False,True
Maplesyrup,False,True
Matbucha,False,False
Mayonnaise,False,True
Meatballs,True,True
Melon,False,True
Milk,False,True
Mixednuts,False,True
MozzarellaCheese,False,True
MushroomPie,True,True
Mushrooms,False,False
Mustard,True,True
NaturalYogurt,False,True
Nectarine,True,True
Noodles,False,True
OatDrink,True,True
Oatmeal,False,True
OatmealCereal,False,True
Oliveoil,True,True
Olives,False,True
Omelette,False,True
Onion,False,True
OnionPie,False,True
Orange,False,True
Orangejuice,False,True
Pancake,False,True
Parmesancheese,False,True
Parsley,True,True
Pasta,False,True
PastaBolognese,False,True
Pastawithtomatosauce,False,True
Pastrami,True,True
Peach,False,True
PeanutButter,False,True
Peanuts,True,True
Pear,False,True
Peas,False,True
Pecan,True,True
Pepper,False,True
Persimmon,False,True
Pesto,False,True
Pickledcucumber,False,True
Pickledvegetables,True,True
Pineapple,False,True
Pistachio,False,False
Pita,False,True
Pizza,False,True
Plum,True,True
Pomegranate,False,False
Pomelo,False,True
Popcorn,False,True
Popsicle,False,True
Potatochips,False,True
Potatosalad,True,True
Potatoes,False,True
Pretzels,True,True
Prune,False,True
Pullet,True,True
Pumpkin,True,True
Pumpkinseeds,False,True
Quinoa,False,True
Raisins,True,True
Ravioli,False,True
RedCabbageSalad,False,False
Rice,False,True
RiceNoodles,True,True
