,"Age, BMI & VAT","Sleep Quality
(average of nights)"
Almonds,False,True
Apple,False,True
AppleCake,False,True
Applejuice,True,True
Apricot,False,True
Artichoke,False,True
Arugula,False,False
Avocado,False,False
Bagel,False,True
Baguette,False,False
Balsamicvinegar,False,True
Bamba,False,True
Banana,False,True
Beans,False,True
Beansblackeyedpeas,True,True
Beef,False,True
Beer,False,True
Beet,False,True
BeetSalad,True,True
Biscuit,False,True
Bissli,False,True
Blueberries,False,True
Boiledcorn,True,True
Bolognese,False,True
Brazilnuts,False,True
Bread,False,True
Broccoli,False,False
BrownSugar,True,True
Brownies,True,True
Bulgur,False,True
Burekas,False,False
Butter,True,True
ButterCookies,True,True
CaesarSalad,True,True
CamembertorBrie,False,False
Candies,True,True
CannedTunaFish,False,True
Cannedcorn,False,True
Cappuccino,True,True
CarrotCake,False,True
Carrots,False,False
Cashew,False,True
Cauliflower,False,False
CerealBar,False,True
Cereals,False,True
Ceviche,True,True
Challah,False,False
Cheesecake,True,True
Cherrytomatoes,False,False
Chestnuts,False,True
Chiaseeds,False,True
Chicken,False,True
ChickenLiver,False,True
ChickenMeatballs,True,True
ChickenSteak,False,True
Chickenbreast,False,True
Chickendrumstick,False,True
Chickenlegs,False,False
Chickensoup,False,True
Chilipepper,True,True
Chocolate,False,True
ChocolateCookies,True,True
Chocolatecake,False,True
Chocolatespread,False,True
Ciabatta,True,True
Cinnamon,True,True
CoatedWafers,True,True
Coatedpeanuts,False,True
CocoaPowder,False,True
Coconut,False,True
Coconutmilk,True,True
Coconutwater,True,True
Coffee,False,True
Coke,False,True
Coldcut,True,True
Coleslaw,True,True
Cookedcabbage,True,True
Cookedgreenbeans,False,True
Cookedvegetables,False,True
Cookedzucchini,False,True
Cookies,False,True
Cookingcream,False,True
Coriander,True,True
Corn,False,True
Cottagecheese,False,True
Couscous,True,True
Cracker,False,True
Cranberries,False,True
CreamCheese,False,True
Croissant,True,True
Croutons,True,True
Cuba,False,True
Cucumber,False,True
Danish,True,True
DarkChocolate,False,True
Datehoney,False,True
Dates,False,True
DietCoke,False,True
Driedcranberries,False,True
Edamame,False,True
Egg,False,True
EggSalad,True,True
Eggyolk,True,True
Eggplant,False,True
EggplantSalad,False,True
Englishcake,True,True
Entrecote,False,False
Falafel,True,True
Fennel,False,False
Fig,True,True
FlavoredYogurt,False,True
Frenchfries,False,True
