,HMGCoAreductaseinhibitorsplainlipidmodifyingdrugs
0,0.10559331541592491
1,0.10282424534869904
2,0.10009244845845616
3,0.10703557163037809
4,0.10809780266291225
5,0.09326511736737235
6,0.10298402560572123
7,0.10274220780340715
8,0.11154127037435177
9,0.11297839459811904
10,0.11191706337402961
11,0.10619573120688615
12,0.11069053346488418
13,0.1172732236559736
14,0.11590673244548176
15,0.11599627063273235
16,0.12276204688693253
17,0.10099866528875204
18,0.10670050190219131
19,0.11588523419888942
20,0.11544578943111171
21,0.11726892179092728
22,0.12288956810698021
23,0.1221740143675943
24,0.1208431869510971
25,0.10785491607114103
26,0.10862630322946779
27,0.1031807871172326
28,0.10950688456891679
29,0.09590093369246172
30,0.13071613564592507
31,0.1070070619532377
32,0.12407535945896452
33,0.10638908730108747
34,0.10525373115830301
35,0.1175609970747466
36,0.10590993640823294
37,0.11809273842273145
38,0.11501848613616798
39,0.10056306503888145
40,0.12086454190118104
41,0.11642577240413174
42,0.11291696625881856
43,0.12467847583035876
44,0.13071087100439344
45,0.11796871910157324
46,0.11446199165453426
47,0.11203003368567155
48,0.13192257642763344
49,0.11563863896730887
