,"Age, BMI & VAT",Immune system
AHI,0.5505951249228834,0.5344182275470887
ahi_4_percent,0.5153555653898388,0.500671867777023
ahi_central,0.23984338117927625,0.22135561914490648
ahi_central_during_nrem,0.22213082858971178,0.20321713954363058
ahi_central_during_rem,0.214724362019725,0.20166935971378597
ahi_during_left,0.4032117768747529,0.3785493134911736
ahi_during_non_supine,0.4548271828928653,0.44214873369943425
ahi_during_nrem,0.49007719484015105,0.4727518608672284
ahi_during_prone,0.3741046135431114,0.34413031177977227
ahi_during_rem,0.5761951221354156,0.5532142184095878
ahi_during_right,0.3710645521379439,0.3343194439869839
ahi_during_supine,0.5419262560926028,0.5172562058752137
ahi_obstructive,0.5516140217250163,0.5292633349085635
ahi_obstructive_during_nrem,0.49004328889762966,0.46524814518300384
ahi_obstructive_during_rem,0.5662631537028032,0.5391297444273566
desaturations_above_20,0.06951921442521225,0.08754064059509585
desaturations_mean_nadir,0.20032082355102204,0.1951169354352943
desaturations_of_10_20,0.3278166371066533,0.2917444090908159
desaturations_of_4_9,0.5182992395908376,0.5035353252887739
number_of_4_percent_desaturation_apnea_hypopnea_events,0.503990028594534,0.4886035815789629
number_of_all_respiratory_events,0.3899533500193019,0.3664086955532106
number_of_apnea_hypopnea_events,0.5297747319562183,0.5152860226726872
number_of_central_apnea_hypopnea_events,0.23610388207313465,0.2190097127509813
number_of_desaturation_events,0.5194597159712654,0.5034910315213177
number_of_obstructive_apnea_hypopnea_events,0.5367599673696781,0.5164035301911718
number_of_transitions_nrem_to_rem,0.0086077777144599,0.0101677151464157
number_of_transitions_nrem_to_wake,0.1665863563854914,0.13649679625298594
number_of_transitions_rem_to_nrem,-0.00312761804772025,0.00952766823032835
number_of_transitions_rem_to_wake,0.03241232455686345,0.0068843849782266
number_of_transitions_wake_to_nrem,0.14646309887370118,0.12235511607522495
number_of_transitions_wake_to_rem,0.008076285102910901,0.0047342315744182
number_of_wakes,0.13307976214609346,0.107845692894392
odi,0.5262690950751996,0.5144402036442048
odi_during_left,0.3923798897905627,0.3932794252300929
odi_during_non_supine,0.45677368441691,0.4633387170539268
odi_during_nrem,0.44400331336376025,0.4202349700681634
odi_during_prone,0.3168378254734525,0.29562723364494703
odi_during_rem,0.5614244076009229,0.5370080010566616
odi_during_right,0.34553314758218867,0.3340266313212701
odi_during_supine,0.48665928069451303,0.45989677679900287
percent_of_deep_sleep_time,0.1712465348603897,0.14949974533102225
percent_of_left_sleep,0.0751072323074859,0.041744782385727194
percent_of_light_sleep_time,0.13241363924737198,0.11838625581384325
percent_of_non_supine_sleep,0.0796061761085055,0.0675568604991955
percent_of_prone_sleep,-0.00513974967000965,-0.04342028665526805
percent_of_rem_sleep_time,0.0743264208217264,0.08805550037832445
percent_of_right_sleep,0.0529213643308404,0.061521723567056444
percent_of_sleep_time,0.05207266871991855,0.03961103414890435
percent_of_supine_sleep,0.07960617609376415,0.0675568603969249
percent_of_wake_time,0.05207266169823475,0.03961103884637725
rdi,0.4194857047760264,0.390728631318238
rdi_during_left,0.2658211291184771,0.24051272763252807
rdi_during_non_supine,0.31717880811250326,0.29170364403117666
rdi_during_nrem,0.346199888986528,0.3208723935581427
rdi_during_prone,0.2579745332201769,0.24082165407835135
rdi_during_rem,0.46616939681316816,0.43588245358980027
rdi_during_right,0.24754695253575304,0.202661898910515
rdi_during_supine,0.41907978720079,0.37610173285586035
rem_latency,0.018201914699857352,0.03174341284103085
saturation_below_80,0.12118789559035184,0.08158259372403825
saturation_below_85,0.22064692819565324,0.16449877839959065
saturation_below_90,0.2944910283444395,0.2659233145491498
saturation_below_or_equal_88,0.2951927336160499,0.2634164195591623
saturation_max_value,0.18023422837186975,0.2065700962052894
saturation_mean,0.5581442484303735,0.5542317311632776
saturation_min_value,0.38892849583029154,0.36252260619197885
sleep_efficiency,0.03726257838021675,0.02802527129940855
sleep_latency,0.003793379854659,0.0462468065877191
snore_above_40db,0.1924953537096289,0.15526416294832923
snore_above_45db,0.3967035424999673,0.34783605419766533
snore_above_50db,0.32439045848026327,0.28129341899535876
snore_above_60db,0.10833258943959956,0.09501703200162255
snore_db_mean,0.364467573721522,0.33972800506627704
time_to_transition_nrem_to_rem,0.0417508293109073,0.0214481620519041
time_to_transition_nrem_to_wake,0.08597512299051785,0.062029139104577
time_to_transition_rem_to_nrem,0.0900159662336459,0.08286646765011835
time_to_transition_rem_to_wake,-0.0126066023483767,0.07128251962555135
time_to_transition_wake_to_nrem,0.0242079415027912,0.0331160529653355
time_to_transition_wake_to_rem,-0.00778691954542305,-0.04161207739836035
total_arousal_sleep_time,0.048480295283674105,0.0383310374667096
total_deep_sleep_time,0.1125241717030037,0.0931771742500837
total_left_sleep_time,0.06656881693780259,0.0401308062191418
total_light_sleep_time,0.1406930588772775,0.10598075220453855
total_non_supine_sleep_time,0.08306800780819396,0.09127493167852016
total_prone_sleep_time,0.0028708581704373,-0.01476870406258435
total_rem_sleep_time,0.018572871104222,0.0444118201118049
total_right_sleep_time,0.05830678350972255,0.0635635674773021
total_sleep_time,0.04896383817034955,0.03791623171411425
total_supine_sleep_time,0.06939953538565635,0.0457910785288264
total_time_in_bed,0.05164669123714135,0.04608777480183155
total_valid_apnea_central_sleep_time,0.0761328236009279,0.0383157439558936
total_valid_apnea_sleep_time,0.08510322045667179,0.048329997653277
total_wake_time,0.0580794098089019,0.0455596946996681
total_wake_time_after_sleep_onset,0.06412826901245215,0.0530060296532621
variability_between_sleep_stage_percents,0.1343337986342901,0.1208041174654977
